_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.9,GO:0009410,response to xenobiotic stimulus,M1,1,0
1,-6.4,hsa00270,Cysteine and methionine metabolism,M1,1,0
1,-4.6,GO:0061620,glycolytic process through glucose-6-phosphate,M1,1,0
1,-5.1,R-HSA-8956320,Nucleotide biosynthesis,M1,1,0
1,-13,GO:0005996,monosaccharide metabolic process,M1,1,0
1,-23,R-HSA-72766,Translation,M1,1,0
1,-14,GO:0015980,energy derivation by oxidation of organic compounds,M1,1,0
1,-10,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-6.5,GO:0009168,purine ribonucleoside monophosphate biosynthetic process,M1,1,0
1,-7.1,GO:0009152,purine ribonucleotide biosynthetic process,M1,1,0
1,-7.4,WP4792,Purine metabolism,M1,1,0
1,-6.2,R-HSA-379716,Cytosolic tRNA aminoacylation,M1,1,0
1,-5.2,GO:0106074,aminoacyl-tRNA metabolism involved in translational fidelity,M1,1,0
1,-6.9,GO:0019320,hexose catabolic process,M1,1,0
1,-2.6,R-HSA-6798695,Neutrophil degranulation,M1,1,0
1,-6,R-HSA-8982491,Glycogen metabolism,M1,1,0
1,-2.4,GO:0097237,cellular response to toxic substance,M1,1,0
1,-13,R-HSA-71387,Metabolism of carbohydrates,M1,1,0
1,-2.2,GO:0006605,protein targeting,M1,1,0
1,-4.1,GO:0006084,acetyl-CoA metabolic process,M1,1,0
1,-22,GO:0006520,amino acid metabolic process,M1,1,0
1,-2.9,R-HSA-9609507,Protein localization,M1,1,0
1,-7.3,GO:0009150,purine ribonucleotide metabolic process,M1,1,0
1,-4.8,GO:0061621,canonical glycolysis,M1,1,0
1,-3.3,GO:0006220,pyrimidine nucleotide metabolic process,M1,1,0
1,-3.8,hsa00250,"Alanine, aspartate and glutamate metabolism",M1,1,0
1,-5.6,GO:0009156,ribonucleoside monophosphate biosynthetic process,M1,1,0
1,-6.6,hsa00620,Pyruvate metabolism,M1,1,0
1,-6.5,R-HSA-379726,Mitochondrial tRNA aminoacylation,M1,1,0
1,-5.2,WP5173,Disorders of galactose metabolism,M1,1,0
1,-5.1,GO:0006085,acetyl-CoA biosynthetic process,M1,1,0
1,-5.1,GO:1901615,organic hydroxy compound metabolic process,M1,1,0
1,-3.4,GO:0005977,glycogen metabolic process,M1,1,0
1,-3.8,GO:0046164,alcohol catabolic process,M1,1,0
1,-5.2,GO:0006098,pentose-phosphate shunt,M1,1,0
1,-3.5,GO:0007005,mitochondrion organization,M1,1,0
1,-5.4,GO:0044272,sulfur compound biosynthetic process,M1,1,0
1,-2.8,GO:0072527,pyrimidine-containing compound metabolic process,M1,1,0
1,-2.4,GO:0090150,establishment of protein localization to membrane,M1,1,0
1,-5.6,GO:0006099,tricarboxylic acid cycle,M1,1,0
1,-11,WP3925,Amino acid metabolism,M1,1,0
1,-4.6,GO:0006144,purine nucleobase metabolic process,M1,1,0
1,-3.5,CORUM:324,"39S ribosomal subunit, mitochondrial",M1,1,0
1,-5.3,WP500,Glycogen synthesis and degradation,M1,1,0
