_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-26.072799616391467,hsa01200,M1,1,0,KEGG Pathway,24,Carbon metabolism,,-26.072799616391467,55.044691607684534,31.007731614695434,30244,115,86,18,20.930232558139537,4.3867514877000895,48|128|1737|1738|2023|2098|2203|2271|3417|5226|5230|5723|6470|6888|7167|22934|26227|55902,ACO1|ADH5|DLAT|DLD|ENO1|ESD|FBP1|FH|IDH1|PGD|PGK1|PSPH|SHMT1|TALDO1|TPI1|RPIA|PHGDH|ACSS2,-21.724241650955012,0,1,1,1,-26.072799616391467,131.87790697674419,
1,-17.54685684420789,hsa01230,M1,1,0,KEGG Pathway,24,Biosynthesis of amino acids,,-17.54685684420789,56.267906976744186,25.590783581286743,30244,75,86,12,13.953488372093023,3.736446825184613,48|586|2023|3417|5230|5723|6470|6888|7167|22934|26227|27430,ACO1|BCAT1|ENO1|IDH1|PGK1|PSPH|SHMT1|TALDO1|TPI1|RPIA|PHGDH|MAT2B,-14.277480124819059,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-10.36191633565864,GO:0044283,M1,1,0,GO Biological Processes,19,small molecule biosynthetic process,19_GO:0008152 metabolic process,-10.36191633565864,10.79702162382701,11.256832587623428,30244,456,86,14,16.27906976744186,3.9809121080752727,353|586|1841|2023|2203|5226|5230|5236|5723|6470|6652|7167|26227|55163,APRT|BCAT1|DTYMK|ENO1|FBP1|PGD|PGK1|PGM1|PSPH|SHMT1|SORD|TPI1|PHGDH|PNPO,-7.666570883997526,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-8.279777897274784,WP4018,M1,1,0,WikiPathways,27,Clear cell renal cell carcinoma pathways,,-8.279777897274784,28.62466197944835,13.69951908473295,30244,86,86,7,8.13953488372093,2.9485933979015555,2023|5230|5236|5723|6470|7167|26227,ENO1|PGK1|PGM1|PSPH|SHMT1|TPI1|PHGDH,-5.730560481291908,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-6.9215105319034835,R-HSA-71291,M1,1,0,Reactome Gene Sets,6,Metabolism of amino acids and derivatives,,-6.9215105319034835,9.35304304799604,8.703540661880536,30244,376,86,10,11.627906976744185,3.456679541649496,586|1737|1738|3376|3735|4357|5723|6470|6723|26227,BCAT1|DLAT|DLD|IARS1|KARS1|MPST|PSPH|SHMT1|SRM|PHGDH,-4.502371492181319,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-5.909963426101946,WP4688,M1,1,0,WikiPathways,27,Serine metabolism,,-5.909963426101946,131.87790697674419,19.770131506068232,30244,8,86,3,3.488372093023256,1.978572628104759,5723|6470|26227,PSPH|SHMT1|PHGDH,-3.5784387999642693,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-5.824998202988324,WP2525,M1,1,0,WikiPathways,27,"Trans-sulfuration, one-carbon metabolism and related pathways",,-5.824998202988324,25.85841313269494,10.958659024875212,30244,68,86,5,5.813953488372093,2.523363604380063,586|5723|6470|26227|27430,BCAT1|PSPH|SHMT1|PHGDH|MAT2B,-3.4976295366218046,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-5.685761675224579,WP5312,M1,1,0,WikiPathways,27,Metabolic pathways of fibroblasts,,-5.685761675224579,43.9593023255814,12.983831260656036,30244,32,86,4,4.651162790697675,2.270854167140835,5236|5723|7360|26227,PGM1|PSPH|UGP2|PHGDH,-3.370627465275071,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-5.333029095265631,GO:0009069,M1,1,0,GO Biological Processes,19,serine family amino acid metabolic process,19_GO:0008152 metabolic process,-5.333029095265631,36.069171138938586,11.70250342307947,30244,39,86,4,4.651162790697675,2.270854167140835,4357|5723|6470|26227,MPST|PSPH|SHMT1|PHGDH,-3.08138114283723,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-5.288212634959104,hsa00260,M1,1,0,KEGG Pathway,24,"Glycine, serine and threonine metabolism",,-5.288212634959104,35.16744186046512,11.547038687161901,30244,40,86,4,4.651162790697675,2.270854167140835,1738|5723|6470|26227,DLD|PSPH|SHMT1|PHGDH,-3.0569259651784106,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-5.206256433391541,GO:0006563,M1,1,0,GO Biological Processes,19,L-serine metabolic process,19_GO:0008152 metabolic process,-5.206256433391541,81.15563506261181,15.436181299173333,30244,13,86,3,3.488372093023256,1.978572628104759,5723|6470|26227,PSPH|SHMT1|PHGDH,-2.9933678059883992,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-4.545919235541429,GO:0009070,M1,1,0,GO Biological Processes,19,serine family amino acid biosynthetic process,19_GO:0008152 metabolic process,-4.545919235541429,50.23920265780731,12.053474831695361,30244,21,86,3,3.488372093023256,1.978572628104759,5723|6470|26227,PSPH|SHMT1|PHGDH,-2.4174693581450266,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-4.389994961170312,GO:1901607,M1,1,0,GO Biological Processes,19,alpha-amino acid biosynthetic process,19_GO:0008152 metabolic process,-4.389994961170312,20.995487677889624,8.749671793156597,30244,67,86,4,4.651162790697675,2.270854167140835,586|5723|6470|26227,BCAT1|PSPH|SHMT1|PHGDH,-2.27948309886265,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-4.292557187656174,WP5083,M1,1,0,WikiPathways,27,Neuroinflammation and glutamatergic signaling,,-4.292557187656174,12.559800664451826,7.320869281523344,30244,140,86,5,5.813953488372093,2.523363604380063,1737|1738|5723|6470|26227,DLAT|DLD|PSPH|SHMT1|PHGDH,-2.192611475422304,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-4.197271285416009,GO:0008652,M1,1,0,GO Biological Processes,19,amino acid biosynthetic process,19_GO:0008152 metabolic process,-4.197271285416009,18.755968992248064,8.221573506444845,30244,75,86,4,4.651162790697675,2.270854167140835,586|5723|6470|26227,BCAT1|PSPH|SHMT1|PHGDH,-2.103985825082858,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-2.106274604372753,GO:0046394,M1,1,0,GO Biological Processes,19,carboxylic acid biosynthetic process,19_GO:0008152 metabolic process,-2.106274604372753,5.133933118316076,3.6707579486075166,30244,274,86,4,4.651162790697675,2.270854167140835,586|5723|6470|26227,BCAT1|PSPH|SHMT1|PHGDH,-0.1676623331981368,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-2.09002918689526,GO:0016053,M1,1,0,GO Biological Processes,19,organic acid biosynthetic process,19_GO:0008152 metabolic process,-2.09002918689526,5.0783309545798,3.6413389629677972,30244,277,86,4,4.651162790697675,2.270854167140835,586|5723|6470|26227,BCAT1|PSPH|SHMT1|PHGDH,-0.15644456942962068,0,1,0,0,-26.072799616391467,131.87790697674419,
1,-23.120413763788292,R-HSA-72766,M1,1,0,Reactome Gene Sets,6,Translation,,-23.120413763788292,25.291653392800256,22.27388534743804,30244,292,86,21,24.41860465116279,4.6325343558591126,16|3376|3735|4528|5018|6729|10056|25973|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|79587|84340,AARS1|IARS1|KARS1|MTIF2|OXA1L|SRP54|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2,-19.072885794015818,0,2,1,1,-23.120413763788292,72.76022453889334,
1,-21.492941111358608,GO:0043604,M1,1,0,GO Biological Processes,19,amide biosynthetic process,19_GO:0008152 metabolic process,-21.492941111358608,15.572298978803742,18.280802696220242,30244,542,86,24,27.906976744186046,4.836751652852649,16|1737|1738|2180|3376|3735|4528|10056|25973|51021|51073|51081|51263|54516|55173|55902|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|DLAT|DLD|ACSL1|IARS1|KARS1|MTIF2|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|ACSS2|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-17.84335315025817,0,2,0,0,-23.120413763788292,72.76022453889334,
1,-19.995637622136137,GO:0043603,M1,1,0,GO Biological Processes,19,amide metabolic process,19_GO:0008152 metabolic process,-19.995637622136137,11.443723258724567,15.976563043436176,30244,799,86,26,30.232558139534884,4.952387540595517,16|1737|1738|2180|3376|3735|4528|4817|6470|10056|25973|51021|51073|51081|51263|54516|55173|55902|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|DLAT|DLD|ACSL1|IARS1|KARS1|MTIF2|NIT1|SHMT1|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|ACSS2|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-16.425230907083325,0,2,0,0,-23.120413763788292,72.76022453889334,
1,-19.09980230949917,GO:0006412,M1,1,0,GO Biological Processes,19,translation,19_GO:0008152 metabolic process,-19.09980230949917,18.0809469719615,18.10667053077509,30244,389,86,20,23.25581395348837,4.555533962409835,16|3376|3735|4528|10056|25973|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|IARS1|KARS1|MTIF2|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-15.654334331054658,0,2,0,0,-23.120413763788292,72.76022453889334,
1,-19.040029492824424,GO:0140053,M1,1,0,GO Biological Processes,19,mitochondrial gene expression,19_GO:0008152 metabolic process,-19.040029492824424,37.14870619063216,23.056832593765098,30244,142,86,15,17.441860465116278,4.091919930942524,4528|51021|51073|51081|51263|54516|54802|55173|57038|63931|64960|64963|64983|80324|84340,MTIF2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|TRIT1|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|PUS1|GFM2,-15.645714036827291,0,2,0,0,-23.120413763788292,72.76022453889334,
1,-18.486549962815282,GO:0043043,M1,1,0,GO Biological Processes,19,peptide biosynthetic process,19_GO:0008152 metabolic process,-18.486549962815282,16.82652720596417,17.39949544534137,30244,418,86,20,23.25581395348837,4.555533962409835,16|3376|3735|4528|10056|25973|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|IARS1|KARS1|MTIF2|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-15.137991997378824,0,2,0,0,-23.120413763788292,72.76022453889334,
1,-18.17701816297385,R-HSA-5368287,M1,1,0,Reactome Gene Sets,6,Mitochondrial translation,,-18.17701816297385,49.15878969742435,24.838568892153994,30244,93,86,13,15.116279069767442,3.8626506353732633,4528|5018|51021|51073|51081|51263|54516|55173|63931|64960|64963|64983|84340,MTIF2|OXA1L|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32|GFM2,-14.86985288269562,0,2,0,0,-23.120413763788292,72.76022453889334,
1,-17.18436437814291,GO:0032543,M1,1,0,GO Biological Processes,19,mitochondrial translation,19_GO:0008152 metabolic process,-17.18436437814291,41.561522198731495,22.75844512668501,30244,110,86,13,15.116279069767442,3.8626506353732633,4528|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|84340,MTIF2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|GFM2,-14.011897671762133,0,2,0,0,-23.120413763788292,72.76022453889334,
1,-16.75702909651117,GO:0006518,M1,1,0,GO Biological Processes,19,peptide metabolic process,19_GO:0008152 metabolic process,-16.75702909651117,13.710503649304139,15.505189401798354,30244,513,86,20,23.25581395348837,4.555533962409835,16|3376|3735|4528|10056|25973|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|IARS1|KARS1|MTIF2|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-13.61259111373064,0,2,0,0,-23.120413763788292,72.76022453889334,
1,-16.72682510429247,R-HSA-5419276,M1,1,0,Reactome Gene Sets,6,Mitochondrial translation termination,,-16.72682510429247,48.50681635926223,23.696373014299837,30244,87,86,12,13.953488372093023,3.736446825184613,5018|51021|51073|51081|51263|54516|55173|63931|64960|64963|64983|84340,OXA1L|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32|GFM2,-13.608716060234286,0,2,0,0,-23.120413763788292,72.76022453889334,
1,-14.924495371008492,R-HSA-5368286,M1,1,0,Reactome Gene Sets,6,Mitochondrial translation initiation,,-14.924495371008492,44.46458166265705,21.68010864377806,30244,87,86,11,12.790697674418604,3.60146581986674,4528|5018|51021|51073|51081|51263|55173|63931|64960|64963|64983,MTIF2|OXA1L|MRPS16|MRPL4|MRPS7|MRPL30|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32,-11.876967401236016,0,2,0,0,-23.120413763788292,72.76022453889334,
