Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,KEGG Pathway,24,hsa01200,Carbon metabolism,,-27,58,32,30244,115,81,18,22,4.6,48|128|1737|1738|2023|2098|2203|2271|3417|5226|5230|5723|6470|6888|7167|22934|26227|55902,ACO1|ADH5|DLAT|DLD|ENO1|ESD|FBP1|FH|IDH1|PGD|PGK1|PSPH|SHMT1|TALDO1|TPI1|RPIA|PHGDH|ACSS2,-23
MyList,Reactome Gene Sets,6,R-HSA-72766,Translation,,-24,27,23,30244,292,81,21,26,4.9,16|3376|3735|4528|5018|6729|10056|25973|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|79587|84340,AARS1|IARS1|KARS1|MTIF2|OXA1L|SRP54|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2,-20
MyList,GO Biological Processes,19,GO:0006091,generation of precursor metabolites and energy,19_GO:0008152 metabolic process,-23,22,21,30244,372,81,22,27,4.9,48|128|158|1352|1737|1738|2108|2235|2271|2632|2673|2820|3417|5018|5226|5834|6888|7360|9942|22934|26227|55902,ACO1|ADH5|ADSL|COX10|DLAT|DLD|ETFA|FECH|FH|GBE1|GFPT1|GPD2|IDH1|OXA1L|PGD|PYGB|TALDO1|UGP2|XYLB|RPIA|PHGDH|ACSS2,-20
MyList,GO Biological Processes,19,GO:0006520,amino acid metabolic process,19_GO:0008152 metabolic process,-22,27,22,30244,281,81,20,25,4.8,16|538|586|1503|1738|2108|2673|3376|3735|4357|4482|5471|5723|6470|10056|25973|26227|57038|79587|123283,AARS1|ATP7A|BCAT1|CTPS1|DLD|ETFA|GFPT1|IARS1|KARS1|MPST|MSRA|PPAT|PSPH|SHMT1|FARSB|PARS2|PHGDH|RARS2|CARS2|TARS3,-19
MyList,GO Biological Processes,19,GO:0043604,amide biosynthetic process,19_GO:0008152 metabolic process,-22,17,19,30244,542,81,24,30,5.1,16|1737|1738|2180|3376|3735|4528|10056|25973|51021|51073|51081|51263|54516|55173|55902|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|DLAT|DLD|ACSL1|IARS1|KARS1|MTIF2|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|ACSS2|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-19
MyList,GO Biological Processes,19,GO:0043603,amide metabolic process,19_GO:0008152 metabolic process,-21,12,17,30244,799,81,26,32,5.2,16|1737|1738|2180|3376|3735|4528|4817|6470|10056|25973|51021|51073|51081|51263|54516|55173|55902|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|DLAT|DLD|ACSL1|IARS1|KARS1|MTIF2|NIT1|SHMT1|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|ACSS2|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-18
MyList,GO Biological Processes,19,GO:0055086,nucleobase-containing small molecule metabolic process,19_GO:0008152 metabolic process,-21,15,18,30244,555,81,23,28,5,158|353|1503|1737|1738|1841|2180|2673|2745|2987|3417|3614|3704|3735|5226|5471|6470|6888|7360|22934|25996|55902|122481,ADSL|APRT|CTPS1|DLAT|DLD|DTYMK|ACSL1|GFPT1|GLRX|GUK1|IDH1|IMPDH1|ITPA|KARS1|PGD|PPAT|SHMT1|TALDO1|UGP2|RPIA|REXO2|ACSS2|AK7,-18
MyList,GO Biological Processes,19,GO:0006412,translation,19_GO:0008152 metabolic process,-20,19,19,30244,389,81,20,25,4.8,16|3376|3735|4528|10056|25973|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|IARS1|KARS1|MTIF2|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-17
MyList,GO Biological Processes,19,GO:0043043,peptide biosynthetic process,19_GO:0008152 metabolic process,-19,18,18,30244,418,81,20,25,4.8,16|3376|3735|4528|10056|25973|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|IARS1|KARS1|MTIF2|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-16
MyList,Reactome Gene Sets,6,R-HSA-5368287,Mitochondrial translation,,-19,52,26,30244,93,81,13,16,4.1,4528|5018|51021|51073|51081|51263|54516|55173|63931|64960|64963|64983|84340,MTIF2|OXA1L|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32|GFM2,-16
MyList,GO Biological Processes,19,GO:0009117,nucleotide metabolic process,19_GO:0008152 metabolic process,-18,16,17,30244,478,81,20,25,4.8,158|353|1503|1737|1738|1841|2180|2987|3417|3614|3704|3735|5226|5471|6470|6888|22934|25996|55902|122481,ADSL|APRT|CTPS1|DLAT|DLD|DTYMK|ACSL1|GUK1|IDH1|IMPDH1|ITPA|KARS1|PGD|PPAT|SHMT1|TALDO1|RPIA|REXO2|ACSS2|AK7,-15
MyList,KEGG Pathway,24,hsa01230,Biosynthesis of amino acids,,-18,60,26,30244,75,81,12,15,3.9,48|586|2023|3417|5230|5723|6470|6888|7167|22934|26227|27430,ACO1|BCAT1|ENO1|IDH1|PGK1|PSPH|SHMT1|TALDO1|TPI1|RPIA|PHGDH|MAT2B,-15
MyList,GO Biological Processes,19,GO:0006753,nucleoside phosphate metabolic process,19_GO:0008152 metabolic process,-18,15,17,30244,487,81,20,25,4.8,158|353|1503|1737|1738|1841|2180|2987|3417|3614|3704|3735|5226|5471|6470|6888|22934|25996|55902|122481,ADSL|APRT|CTPS1|DLAT|DLD|DTYMK|ACSL1|GUK1|IDH1|IMPDH1|ITPA|KARS1|PGD|PPAT|SHMT1|TALDO1|RPIA|REXO2|ACSS2|AK7,-15
