Cluster,Score,Type,Gene,Symbol,Network
1,5.166666666666667,Clustered,64983,MRPL32,MyList_SUB1
1,5.166666666666667,Clustered,54516,MTRF1L,MyList_SUB1
1,5.166666666666667,Clustered,51081,MRPS7,MyList_SUB1
1,5.166666666666667,Clustered,84340,GFM2,MyList_SUB1
1,5.166666666666667,Clustered,51263,MRPL30,MyList_SUB1
1,5.166666666666667,Clustered,64960,MRPS15,MyList_SUB1
1,5.166666666666667,Clustered,51021,MRPS16,MyList_SUB1
1,5.166666666666667,Clustered,63931,MRPS14,MyList_SUB1
1,5.166666666666667,Clustered,51073,MRPL4,MyList_SUB1
1,5.166666666666667,Seed,4528,MTIF2,MyList_SUB1
1,5.166666666666667,Clustered,55173,MRPS10,MyList_SUB1
1,5.166666666666667,Clustered,64963,MRPS11,MyList_SUB1
2,3.6666666666666665,Clustered,16,AARS1,MyList_SUB1
2,3.6666666666666665,Seed,6888,TALDO1,MyList_SUB1
2,3.6666666666666665,Clustered,5226,PGD,MyList_SUB1
2,3.6666666666666665,Clustered,3329,HSPD1,MyList_SUB1
2,3.6666666666666665,Clustered,7360,UGP2,MyList_SUB1
2,3.6666666666666665,Clustered,5834,PYGB,MyList_SUB1
2,3.6666666666666665,Clustered,3376,IARS1,MyList_SUB1
2,3.6666666666666665,Clustered,3735,KARS1,MyList_SUB1
2,3.6666666666666665,Clustered,5236,PGM1,MyList_SUB1
3,1.5714285714285714,Clustered,3313,HSPA9,MyList_SUB1
3,1.5714285714285714,Clustered,2235,FECH,MyList_SUB1
3,1.5714285714285714,Clustered,1503,CTPS1,MyList_SUB1
3,1.5714285714285714,Clustered,2673,GFPT1,MyList_SUB1
3,1.5714285714285714,Clustered,55163,PNPO,MyList_SUB1
3,1.5714285714285714,Clustered,2271,FH,MyList_SUB1
3,1.5714285714285714,Clustered,3320,HSP90AA1,MyList_SUB1
4,1.2,Clustered,25996,REXO2,MyList_SUB1
4,1.2,Clustered,3417,IDH1,MyList_SUB1
4,1.2,Clustered,1738,DLD,MyList_SUB1
4,1.2,Clustered,6470,SHMT1,MyList_SUB1
4,1.2,Clustered,3614,IMPDH1,MyList_SUB1
5,1.0,Clustered,57038,RARS2,MyList_SUB1
5,1.0,Seed,123283,TARS3,MyList_SUB1
5,1.0,Clustered,1737,DLAT,MyList_SUB1
