_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.9,COVID309,M1,1,0,COVID,200,RNA_Wilk_CD8+T-cells_patient-C3_Up,,-3.9,32,9.5,30244,33,86,3,3.5,2,2023|3320|3329,ENO1|HSP90AA1|HSPD1,-1.1,0
1,-3.6,COVID254,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C5_Up,,-3.6,14,6.8,30244,104,86,4,4.7,2.3,2023|2180|3320|3417,ENO1|ACSL1|HSP90AA1|IDH1,-0.97,0
1,-3.4,COVID182,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_ORF9B_Down,,-3.4,8.1,5.6,30244,218,86,5,5.8,2.5,4357|7167|25813|51073|51263,MPST|TPI1|SAMM50|MRPL4|MRPL30,-0.82,0
1,-3.1,COVID248,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C2_Up,,-3.1,17,6.7,30244,63,86,3,3.5,2,2023|2180|5226,ENO1|ACSL1|PGD,-0.63,0
1,-3,COVID208,M1,1,0,COVID,200,Proteome_Li_Urine-recovery-vs-healthy_Up,,-3,9.3,5.4,30244,152,86,4,4.7,2.3,128|353|2203|2745,ADH5|APRT|FBP1|GLRX,-0.58,0
1,-3,COVID256,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C6_Up,,-3,9.1,5.4,30244,154,86,4,4.7,2.3,2023|2180|5226|5230,ENO1|ACSL1|PGD|PGK1,-0.57,0
1,-2.9,COVID246,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C1B-severe_Up,,-2.9,14,6,30244,77,86,3,3.5,2,2023|2180|5226,ENO1|ACSL1|PGD,-0.46,0
1,-2.8,COVID341,M1,1,0,COVID,200,RNA_Wilk_B-cells_patient-C3_Up,,-2.8,13,5.7,30244,82,86,3,3.5,2,2023|3320|3329,ENO1|HSP90AA1|HSPD1,-0.41,0
1,-2.8,COVID037,M1,1,0,COVID,200,RNA_Sun_Calu-3_12h_Down,,-2.8,5.9,4.5,30244,300,86,5,5.8,2.5,2023|3417|5230|7167|55173,ENO1|IDH1|PGK1|TPI1|MRPS10,-0.41,0
1,-2.8,COVID039,M1,1,0,COVID,200,RNA_Sun_Calu-3_24h_Down,,-2.8,5.9,4.5,30244,300,86,5,5.8,2.5,2673|3329|3376|3417|5230,GFPT1|HSPD1|IARS1|IDH1|PGK1,-0.41,0
1,-2.6,COVID198,M1,1,0,COVID,200,Ubiquitinome_Stukalov_A549-ACE2_24h_Down,,-2.6,7.2,4.6,30244,196,86,4,4.7,2.3,2023|3329|3376|26227,ENO1|HSPD1|IARS1|PHGDH,-0.32,0
1,-2.2,COVID155,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_NSP1_Up,,-2.2,8.2,4.4,30244,128,86,3,3.5,2,4817|5236|26227,NIT1|PGM1|PHGDH,-0.075,0
1,-2.2,COVID027,M1,1,0,COVID,200,RNA_Lamers_intestinal-organoid_expansion_Down,,-2.2,5.3,3.8,30244,264,86,4,4.7,2.3,2673|5230|7360|55902,GFPT1|PGK1|UGP2|ACSS2,-0.033,0
1,-2,COVID173,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_ORF3_Up,,-2,4.8,3.5,30244,291,86,4,4.7,2.3,128|3320|5479|7360,ADH5|HSP90AA1|PPIB|UGP2,0,0
