_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.7,M41652,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-6.7,6.7,7.7,30244,629,86,12,14,3.7,128|353|2023|3735|4357|5018|5230|6652|6888|7167|26227|51073,ADH5|APRT|ENO1|KARS1|MPST|OXA1L|PGK1|SORD|TALDO1|TPI1|PHGDH|MRPL4,-3,0
1,-5.7,M41710,M1,1,0,Cell Type Signatures,7,FAN OVARY CL8 MATURE CUMULUS GRANULOSA CELL 2,,-5.7,6,6.8,30244,646,86,11,13,3.6,353|586|2108|3417|4357|5226|5236|5479|51073|63931|64960,APRT|BCAT1|ETFA|IDH1|MPST|PGD|PGM1|PPIB|MRPL4|MRPS14|MRPS15,-2.2,0
1,-5.4,M39237,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C18 COLLECTING DUCT PRINCIPAL CELLS MEDULLA,,-5.4,8.7,7.5,30244,322,86,8,9.3,3.1,2023|2987|3313|3320|3329|5230|5479|7167,ENO1|GUK1|HSPA9|HSP90AA1|HSPD1|PGK1|PPIB|TPI1,-2.1,0
1,-4.9,M39225,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C6 PROXIMAL TUBULE EPITHELIAL CELLS FIBRINOGEN POS S3,,-4.9,12,7.7,30244,181,86,6,7,2.7,2023|2745|3313|3320|3329|4482,ENO1|GLRX|HSPA9|HSP90AA1|HSPD1|MSRA,-1.7,0
1,-4.8,M39227,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C8 DECENDING THIN LIMB,,-4.8,8.9,7,30244,278,86,7,8.1,2.9,2023|3313|3320|3329|5230|5479|7167,ENO1|HSPA9|HSP90AA1|HSPD1|PGK1|PPIB|TPI1,-1.7,0
1,-4.6,M39175,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-4.6,5.2,5.9,30244,680,86,10,12,3.5,128|2023|3376|5018|5226|6723|6888|7167|25996|26227,ADH5|ENO1|IARS1|OXA1L|PGD|SRM|TALDO1|TPI1|REXO2|PHGDH,-1.6,0
1,-4.4,M41698,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG TREM2 DENDRITIC CELL,,-4.4,5.5,5.8,30244,572,86,9,10,3.3,48|586|2023|2203|2745|3320|3417|5226|6888,ACO1|BCAT1|ENO1|FBP1|GLRX|HSP90AA1|IDH1|PGD|TALDO1,-1.5,0
1,-4.4,M39174,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-4.4,4.8,5.6,30244,731,86,10,12,3.5,48|586|2203|2745|3417|5018|5236|6652|6888|26227,ACO1|BCAT1|FBP1|GLRX|IDH1|OXA1L|PGM1|SORD|TALDO1|PHGDH,-1.4,0
1,-4,M41703,M1,1,0,Cell Type Signatures,7,FAN OVARY CL1 GPRC5A TNFRS12A HIGH SELECTABLE FOLLICLE STROMAL CELL,,-4,6.5,5.7,30244,380,86,7,8.1,2.9,2023|2745|3313|3320|3329|3376|64983,ENO1|GLRX|HSPA9|HSP90AA1|HSPD1|IARS1|MRPL32,-1.2,0
1,-3.9,M39228,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C9 THIN ASCENDING LIMB,,-3.9,7.9,6,30244,268,86,6,7,2.7,2023|3320|3329|5230|5479|7167,ENO1|HSP90AA1|HSPD1|PGK1|PPIB|TPI1,-1.1,0
1,-3.9,M39257,M1,1,0,Cell Type Signatures,7,MENON FETAL KIDNEY 7 LOOPOF HENLE CELLS DISTAL,,-3.9,7.6,5.9,30244,276,86,6,7,2.7,2023|2098|3313|5230|7167|25996,ENO1|ESD|HSPA9|PGK1|TPI1|REXO2,-1.1,0
1,-3.7,M41720,M1,1,0,Cell Type Signatures,7,FAN OVARY CL18 B LYMPHOCYTE,,-3.7,5.8,5.3,30244,422,86,7,8.1,2.9,353|1738|2987|3320|3329|5230|6888,APRT|DLD|GUK1|HSP90AA1|HSPD1|PGK1|TALDO1,-0.99,0
1,-3.7,M39115,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C11 HEPATOCYTES 1,,-3.7,7.1,5.6,30244,298,86,6,7,2.7,2180|2203|3417|6470|6652|7360,ACSL1|FBP1|IDH1|SHMT1|SORD|UGP2,-0.98,0
1,-3.5,M39238,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C19 COLLECTING DUCT INTERCALATED CELLS TYPE A MEDULLA,,-3.5,6.5,5.3,30244,326,86,6,7,2.7,2023|3313|3320|3329|5230|7167,ENO1|HSPA9|HSP90AA1|HSPD1|PGK1|TPI1,-0.85,0
