_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-9.8,C0543888,M1,1,0,DisGeNET,35,Epileptic encephalopathy,,-9.8,19,13,30244,187,86,10,12,3.5,16|158|3704|7360|25973|26227|54802|55163|57038|79587,AARS1|ADSL|ITPA|UGP2|PARS2|PHGDH|TRIT1|PNPO|RARS2|CARS2,-5.3,0
1,-9.3,C0001125,M1,1,0,DisGeNET,35,"Acidosis, Lactic",,-9.3,17,12,30244,209,86,10,12,3.5,1352|1737|1738|2203|2271|3735|51021|51081|63931|80324,COX10|DLAT|DLD|FBP1|FH|KARS1|MRPS16|MRPS7|MRPS14|PUS1,-5.2,0
1,-9.3,C0751651,M1,1,0,DisGeNET,35,Mitochondrial Diseases,,-9.3,14,11,30244,283,86,11,13,3.6,353|1352|2632|3313|3735|5018|6652|54802|57038|80324|84340,APRT|COX10|GBE1|HSPA9|KARS1|OXA1L|SORD|TRIT1|RARS2|PUS1|GFM2,-5.2,0
1,-8.9,C1836440,M1,1,0,DisGeNET,35,Increased serum lactate,,-8.9,19,12,30244,169,86,9,10,3.3,1352|1738|51021|55163|57038|63931|79587|80324|84340,COX10|DLD|MRPS16|PNPO|RARS2|MRPS14|CARS2|PUS1|GFM2,-4.9,0
1,-8.2,C0085584,M1,1,0,DisGeNET,35,Encephalopathies,,-8.2,9.2,9.5,30244,457,86,12,14,3.7,16|1352|1738|2108|2271|3704|7360|25973|26227|54802|55163|57038,AARS1|COX10|DLD|ETFA|FH|ITPA|UGP2|PARS2|PHGDH|TRIT1|PNPO|RARS2,-4.3,0
1,-7.5,C0011853,M1,1,0,DisGeNET,35,"Diabetes Mellitus, Experimental",,-7.5,8.1,8.7,30244,522,86,12,14,3.7,158|353|2180|2673|2745|2820|2987|3320|3329|5471|6652|7167,ADSL|APRT|ACSL1|GFPT1|GLRX|GPD2|GUK1|HSP90AA1|HSPD1|PPAT|SORD|TPI1,-3.8,0
1,-7,C0232466,M1,1,0,DisGeNET,35,Feeding difficulties,,-7,8.2,8.4,30244,473,86,11,13,3.6,16|1738|2673|3704|5723|7360|10056|25973|26227|55163|79587,AARS1|DLD|GFPT1|ITPA|PSPH|UGP2|FARSB|PARS2|PHGDH|PNPO|CARS2,-3.3,0
1,-6.1,C0026838,M1,1,0,DisGeNET,35,Muscle Spasticity,,-6.1,6.7,7.4,30244,580,86,11,13,3.6,16|538|1352|1738|2632|7167|22934|25973|26227|54802|84340,AARS1|ATP7A|COX10|DLD|GBE1|TPI1|RPIA|PARS2|PHGDH|TRIT1|GFM2,-2.5,0
1,-6,C0017919,M1,1,0,DisGeNET,35,Glycogen Storage Disease,,-6,28,11,30244,63,86,5,5.8,2.5,353|2203|2632|5230|5236,APRT|FBP1|GBE1|PGK1|PGM1,-2.5,0
1,-6,C4553743,M1,1,0,DisGeNET,35,"Spasticity, CTCAE",,-6,7.4,7.5,30244,477,86,10,12,3.5,16|538|1352|1738|2632|7167|22934|25973|54802|84340,AARS1|ATP7A|COX10|DLD|GBE1|TPI1|RPIA|PARS2|TRIT1|GFM2,-2.5,0
1,-5.7,C4025616,M1,1,0,DisGeNET,35,CNS hypomyelination,,-5.7,44,13,30244,32,86,4,4.7,2.3,16|158|25973|100528021,AARS1|ADSL|PARS2|ST20-MTHFS,-2.2,0
1,-5.6,C0424551,M1,1,0,DisGeNET,35,Impaired exercise tolerance,,-5.6,23,10,30244,76,86,5,5.8,2.5,1352|5230|5236|10056|80324,COX10|PGK1|PGM1|FARSB|PUS1,-2.2,0
1,-5.5,C0020615,M1,1,0,DisGeNET,35,Hypoglycemia,,-5.5,7.5,7.2,30244,420,86,9,10,3.3,353|538|1738|2023|2108|2203|5236|51081|55163,APRT|ATP7A|DLD|ENO1|ETFA|FBP1|PGM1|MRPS7|PNPO,-2.2,0
1,-5.4,C0024530,M1,1,0,DisGeNET,35,Malaria,,-5.4,5.7,6.6,30244,684,86,11,13,3.6,158|2235|3313|3320|3376|3704|3735|5226|5236|25973|26227,ADSL|FECH|HSPA9|HSP90AA1|IARS1|ITPA|KARS1|PGD|PGM1|PARS2|PHGDH,-2.1,0
1,-5.4,C4020732,M1,1,0,DisGeNET,35,Mitochondrial abnormalities,,-5.4,21,9.8,30244,83,86,5,5.8,2.5,353|1738|2271|3704|6652,APRT|DLD|FH|ITPA|SORD,-2.1,0
1,-5.2,C0235946,M1,1,0,DisGeNET,35,Cerebral atrophy,,-5.2,7,6.8,30244,454,86,9,10,3.3,16|158|2271|3704|10056|25973|54802|57038|79587,AARS1|ADSL|FH|ITPA|FARSB|PARS2|TRIT1|RARS2|CARS2,-2,0
1,-5,C4023722,M1,1,0,DisGeNET,35,Abnormality of hair texture,,-5,70,14,30244,15,86,3,3.5,2,538|5230|26227,ATP7A|PGK1|PHGDH,-1.8,0
1,-4.9,C0424503,M1,1,0,DisGeNET,35,Dysmorphic facies,,-4.9,9.1,7.1,30244,271,86,7,8.1,2.9,158|2108|5723|6888|26227|51021|63931,ADSL|ETFA|PSPH|TALDO1|PHGDH|MRPS16|MRPS14,-1.7,0
1,-4.8,C0520572,M1,1,0,DisGeNET,35,Enzymopathy,,-4.8,62,13,30244,17,86,3,3.5,2,2023|7167|22934,ENO1|TPI1|RPIA,-1.7,0
1,-4.8,C0026936,M1,1,0,DisGeNET,35,Mycoplasma Infections,,-4.8,11,7.5,30244,188,86,6,7,2.7,353|1738|3320|3329|26227|54802,APRT|DLD|HSP90AA1|HSPD1|PHGDH|TRIT1,-1.7,0
1,-4.8,C0270612,M1,1,0,DisGeNET,35,Leukoencephalopathy,,-4.8,11,7.5,30244,189,86,6,7,2.7,16|1352|2673|3735|6652|22934,AARS1|COX10|GFPT1|KARS1|SORD|RPIA,-1.7,0
1,-4.8,C0023520,M1,1,0,DisGeNET,35,Leukodystrophy,,-4.8,11,7.5,30244,190,86,6,7,2.7,1352|2632|3313|3329|3735|6652,COX10|GBE1|HSPA9|HSPD1|KARS1|SORD,-1.7,0
1,-4.7,C0085605,M1,1,0,DisGeNET,35,Liver Failure,,-4.7,8.4,6.8,30244,293,86,7,8.1,2.9,1737|1738|2235|2271|2632|6888|51081,DLAT|DLD|FECH|FH|GBE1|TALDO1|MRPS7,-1.6,0
1,-4.7,C0011175,M1,1,0,DisGeNET,35,Dehydration,,-4.7,8.3,6.8,30244,295,86,7,8.1,2.9,353|2023|3320|3329|6652|6723|55902,APRT|ENO1|HSP90AA1|HSPD1|SORD|SRM|ACSS2,-1.6,0
