_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.7,M40752,M1,1,0,Transcription Factor Targets,16,FOXO4 TARGET GENES,,-3.7,7.1,5.6,30244,299,86,6,7,2.7,1737|2582|6729|25813|51263|55173,DLAT|GALE|SRP54|SAMM50|MRPL30|MRPS10,-0.98,0
1,-3.5,M29943,M1,1,0,Transcription Factor Targets,16,DLX6 TARGET GENES,,-3.5,4.7,4.9,30244,596,86,8,9.3,3.1,16|2023|4528|5018|6729|10056|64960|64963,AARS1|ENO1|MTIF2|OXA1L|SRP54|FARSB|MRPS15|MRPS11,-0.89,0
1,-3.4,M40840,M1,1,0,Transcription Factor Targets,16,EPC1 TARGET GENES,,-3.4,8.1,5.6,30244,218,86,5,5.8,2.5,586|1737|2582|51073|80324,BCAT1|DLAT|GALE|MRPL4|PUS1,-0.82,0
1,-3.3,M29976,M1,1,0,Transcription Factor Targets,16,FOXR2 TARGET GENES,,-3.3,7.5,5.3,30244,234,86,5,5.8,2.5,158|3704|5230|6729|79693,ADSL|ITPA|PGK1|SRP54|YRDC,-0.73,0
1,-3.2,M29890,M1,1,0,Transcription Factor Targets,16,ARNT2 TARGET GENES,,-3.2,4.2,4.5,30244,673,86,8,9.3,3.1,2987|3313|5230|55902|64960|64983|79587|80324,GUK1|HSPA9|PGK1|ACSS2|MRPS15|MRPL32|CARS2|PUS1,-0.67,0
1,-3.1,M30090,M1,1,0,Transcription Factor Targets,16,NKX2 3 TARGET GENES,,-3.1,4.6,4.5,30244,539,86,7,8.1,2.9,2582|4528|5018|5479|5723|55163|84340,GALE|MTIF2|OXA1L|PPIB|PSPH|PNPO|GFM2,-0.6,0
1,-3,M18461,M1,1,0,Transcription Factor Targets,16,ARNT 01,,-3,6.5,4.8,30244,271,86,5,5.8,2.5,3329|4817|5471|6470|25996,HSPD1|NIT1|PPAT|SHMT1|REXO2,-0.54,0
1,-2.8,M30191,M1,1,0,Transcription Factor Targets,16,TASOR TARGET GENES,,-2.8,6.1,4.6,30244,290,86,5,5.8,2.5,1737|1738|3376|25996|51021,DLAT|DLD|IARS1|REXO2|MRPS16,-0.45,0
1,-2.8,M30180,M1,1,0,Transcription Factor Targets,16,SRPK2 TARGET GENES,,-2.8,13,5.8,30244,80,86,3,3.5,2,586|55902|123283,BCAT1|ACSS2|TARS3,-0.43,0
1,-2.6,M30399,M1,1,0,Transcription Factor Targets,16,ZNF85 TARGET GENES,,-2.6,5.4,4.2,30244,327,86,5,5.8,2.5,4528|5834|51263|84340|112487,MTIF2|PYGB|MRPL30|GFM2|DTD2,-0.31,0
1,-2.6,M30070,M1,1,0,Transcription Factor Targets,16,MSX1 TARGET GENES,,-2.6,7,4.5,30244,202,86,4,4.7,2.3,1738|2745|3329|63931,DLD|GLRX|HSPD1|MRPS14,-0.3,0
1,-2.5,M402,M1,1,0,Transcription Factor Targets,16,TTCYRGAA UNKNOWN,,-2.5,5.2,4.1,30244,340,86,5,5.8,2.5,3313|3329|3417|5236|25973,HSPA9|HSPD1|IDH1|PGM1|PARS2,-0.27,0
1,-2.5,M30100,M1,1,0,Transcription Factor Targets,16,NR1I2 TARGET GENES,,-2.5,5.1,4.1,30244,342,86,5,5.8,2.5,2023|2108|3614|5471|80324,ENO1|ETFA|IMPDH1|PPAT|PUS1,-0.27,0
1,-2.5,M30105,M1,1,0,Transcription Factor Targets,16,OVOL3 TARGET GENES,,-2.5,4.2,3.8,30244,508,86,6,7,2.7,158|1503|4528|5471|63931|79587,ADSL|CTPS1|MTIF2|PPAT|MRPS14|CARS2,-0.25,0
1,-2.5,M40690,M1,1,0,Transcription Factor Targets,16,TBX3 TARGET GENES,,-2.5,5,4,30244,351,86,5,5.8,2.5,16|3704|5723|7360|64960,AARS1|ITPA|PSPH|UGP2|MRPS15,-0.25,0
1,-2.4,M40790,M1,1,0,Transcription Factor Targets,16,SRCAP TARGET GENES,,-2.4,4,3.7,30244,530,86,6,7,2.7,2820|3735|5018|7360|25996|51021,GPD2|KARS1|OXA1L|UGP2|REXO2|MRPS16,-0.19,0
