Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0543888,Epileptic encephalopathy,,-9.8,19,13,30244,187,86,10,12,3.5,16|158|3704|7360|25973|26227|54802|55163|57038|79587,AARS1|ADSL|ITPA|UGP2|PARS2|PHGDH|TRIT1|PNPO|RARS2|CARS2,-5.3,MyList
DisGeNET,35,C0001125,"Acidosis, Lactic",,-9.3,17,12,30244,209,86,10,12,3.5,1352|1737|1738|2203|2271|3735|51021|51081|63931|80324,COX10|DLAT|DLD|FBP1|FH|KARS1|MRPS16|MRPS7|MRPS14|PUS1,-5.2,MyList
DisGeNET,35,C0751651,Mitochondrial Diseases,,-9.3,14,11,30244,283,86,11,13,3.6,353|1352|2632|3313|3735|5018|6652|54802|57038|80324|84340,APRT|COX10|GBE1|HSPA9|KARS1|OXA1L|SORD|TRIT1|RARS2|PUS1|GFM2,-5.2,MyList
DisGeNET,35,C1836440,Increased serum lactate,,-8.9,19,12,30244,169,86,9,10,3.3,1352|1738|51021|55163|57038|63931|79587|80324|84340,COX10|DLD|MRPS16|PNPO|RARS2|MRPS14|CARS2|PUS1|GFM2,-4.9,MyList
DisGeNET,35,C0085584,Encephalopathies,,-8.2,9.2,9.5,30244,457,86,12,14,3.7,16|1352|1738|2108|2271|3704|7360|25973|26227|54802|55163|57038,AARS1|COX10|DLD|ETFA|FH|ITPA|UGP2|PARS2|PHGDH|TRIT1|PNPO|RARS2,-4.3,MyList
DisGeNET,35,C0011853,"Diabetes Mellitus, Experimental",,-7.5,8.1,8.7,30244,522,86,12,14,3.7,158|353|2180|2673|2745|2820|2987|3320|3329|5471|6652|7167,ADSL|APRT|ACSL1|GFPT1|GLRX|GPD2|GUK1|HSP90AA1|HSPD1|PPAT|SORD|TPI1,-3.8,MyList
DisGeNET,35,C0232466,Feeding difficulties,,-7,8.2,8.4,30244,473,86,11,13,3.6,16|1738|2673|3704|5723|7360|10056|25973|26227|55163|79587,AARS1|DLD|GFPT1|ITPA|PSPH|UGP2|FARSB|PARS2|PHGDH|PNPO|CARS2,-3.3,MyList
Cell Type Signatures,7,M41652,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-6.7,6.7,7.7,30244,629,86,12,14,3.7,128|353|2023|3735|4357|5018|5230|6652|6888|7167|26227|51073,ADH5|APRT|ENO1|KARS1|MPST|OXA1L|PGK1|SORD|TALDO1|TPI1|PHGDH|MRPL4,-3,MyList
DisGeNET,35,C0026838,Muscle Spasticity,,-6.1,6.7,7.4,30244,580,86,11,13,3.6,16|538|1352|1738|2632|7167|22934|25973|26227|54802|84340,AARS1|ATP7A|COX10|DLD|GBE1|TPI1|RPIA|PARS2|PHGDH|TRIT1|GFM2,-2.5,MyList
DisGeNET,35,C0017919,Glycogen Storage Disease,,-6,28,11,30244,63,86,5,5.8,2.5,353|2203|2632|5230|5236,APRT|FBP1|GBE1|PGK1|PGM1,-2.5,MyList
