Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
48,3.0,1,1,1
51073,3.0,1,1,1
10056,3.0,1,1,1
27430,3.0,1,1,1
2582,3.0,1,1,1
5018,3.0,1,1,1
4357,3.0,1,1,1
5236,3.0,1,1,1
123283,3.0,1,1,1
51081,3.0,1,1,1
2820,3.0,1,1,1
3704,3.0,1,1,1
2203,3.0,1,1,1
9942,3.0,1,1,1
6652,3.0,1,1,1
2987,3.0,1,1,1
54516,3.0,1,1,1
1737,3.0,1,1,1
586,3.0,1,1,1
2235,3.0,1,1,1
4482,3.0,1,1,1
79587,3.0,1,1,1
353,3.0,1,1,1
6888,3.0,1,1,1
26227,3.0,1,1,1
3417,3.0,1,1,1
4528,3.0,1,1,1
5230,3.0,1,1,1
55173,3.0,1,1,1
64960,3.0,1,1,1
51263,3.0,1,1,1
16,3.0,1,1,1
22934,3.0,1,1,1
3320,3.0,1,1,1
3313,3.0,1,1,1
6470,3.0,1,1,1
128,3.0,1,1,1
2180,3.0,1,1,1
55163,3.0,1,1,1
5226,3.0,1,1,1
2632,3.0,1,1,1
64983,3.0,1,1,1
3329,3.0,1,1,1
57038,3.0,1,1,1
158,3.0,1,1,1
80324,3.0,1,1,1
112487,3.0,1,1,1
130589,3.0,1,1,1
55902,3.0,1,1,1
7360,3.0,1,1,1
7167,3.0,1,1,1
2023,3.0,1,1,1
3614,3.0,1,1,1
1841,3.0,1,1,1
2098,3.0,1,1,1
25973,3.0,1,1,1
5834,3.0,1,1,1
25813,3.0,1,1,1
122481,3.0,1,1,1
2271,3.0,1,1,1
2673,3.0,1,1,1
63931,3.0,1,1,1
1503,3.0,1,1,1
2745,3.0,1,1,1
1738,3.0,1,1,1
5723,3.0,1,1,1
3735,3.0,1,1,1
51021,3.0,1,1,1
6723,3.0,1,1,1
84340,3.0,1,1,1
5471,3.0,1,1,1
3376,3.0,1,1,1
64963,3.0,1,1,1
1352,2.0,1,0,1
5479,2.0,1,0,1
54802,2.0,1,1,0
25996,2.0,1,0,1
9054,2.0,1,0,1
538,2.0,1,0,1
6729,2.0,1,0,1
2108,2.0,1,0,1
79693,2.0,1,1,0
4817,2.0,1,0,1
55520,1.0,1,0,0
9489,1.0,1,0,0
100528021,1.0,1,0,0
