Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0043043,peptide biosynthetic process,19_GO:0008152 metabolic process,-11,25,15,30244,418,29,10,34,8.8,3029|4141|4677|10209|28998|29088|51023|51373|92399|124995,HAGH|MARS1|NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-7.4,MyList
GO Biological Processes,19,GO:0043603,amide metabolic process,19_GO:0008152 metabolic process,-11,16,13,30244,799,29,12,41,9.1,2571|3029|4141|4677|10209|28998|29088|51023|51373|60496|92399|124995,GAD1|HAGH|MARS1|NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|AASDHPPT|MRRF|MRPL10,-7.4,MyList
GO Biological Processes,19,GO:0006518,peptide metabolic process,19_GO:0008152 metabolic process,-11,20,14,30244,513,29,10,34,8.8,3029|4141|4677|10209|28998|29088|51023|51373|92399|124995,HAGH|MARS1|NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.8,MyList
GO Biological Processes,19,GO:0044282,small molecule catabolic process,19_GO:0008152 metabolic process,-11,27,15,30244,353,29,9,31,8.6,275|978|2571|2592|3029|5211|5315|27349|60496,AMT|CDA|GAD1|GALT|HAGH|PFKL|PKM|MCAT|AASDHPPT,-6.8,MyList
GO Biological Processes,19,GO:0043604,amide biosynthetic process,19_GO:0008152 metabolic process,-10,19,13,30244,542,29,10,34,8.8,3029|4141|4677|10209|28998|29088|51023|51373|92399|124995,HAGH|MARS1|NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.7,MyList
GO Biological Processes,19,GO:0006412,translation,19_GO:0008152 metabolic process,-10,24,14,30244,389,29,9,31,8.6,4141|4677|10209|28998|29088|51023|51373|92399|124995,MARS1|NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.6,MyList
Reactome Gene Sets,6,R-HSA-5419276,Mitochondrial translation termination,,-9.7,72,21,30244,87,29,6,21,7.5,28998|29088|51023|51373|92399|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.2,MyList
Reactome Gene Sets,6,R-HSA-72766,Translation,,-9.6,29,15,30244,292,29,8,28,8.3,4141|4677|28998|29088|51023|51373|92399|124995,MARS1|NARS1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.2,MyList
Reactome Gene Sets,6,R-HSA-5368287,Mitochondrial translation,,-9.5,67,20,30244,93,29,6,21,7.5,28998|29088|51023|51373|92399|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.1,MyList
KEGG Pathway,24,hsa01200,Carbon metabolism,,-8.9,54,18,30244,115,29,6,21,7.5,275|2821|5211|5315|6120|7086,AMT|GPI|PFKL|PKM|RPE|TKT,-5.6,MyList
CORUM,33,CORUM:320,"55S ribosome, mitochondrial",,-8,68,18,30244,77,29,5,17,7,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-4.7,MyList
KEGG Pathway,24,hsa00030,Pentose phosphate pathway,,-7.7,1.4e+02,23,30244,30,29,4,14,6.4,2821|5211|6120|7086,GPI|PFKL|RPE|TKT,-4.5,MyList
Reactome Gene Sets,6,R-HSA-5368286,Mitochondrial translation initiation,,-7.7,60,17,30244,87,29,5,17,7,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-4.5,MyList
Reactome Gene Sets,6,R-HSA-5389840,Mitochondrial translation elongation,,-7.7,60,17,30244,87,29,5,17,7,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-4.5,MyList
GO Biological Processes,19,GO:0032543,mitochondrial translation,19_GO:0008152 metabolic process,-7.2,47,15,30244,110,29,5,17,7,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-4,MyList
WikiPathways,27,WP4290,Metabolic reprogramming in colon cancer,,-7.1,99,20,30244,42,29,4,14,6.4,2821|5211|5315|7086,GPI|PFKL|PKM|TKT,-4,MyList
WikiPathways,27,WP5220,Metabolic reprogramming in pancreatic cancer,,-7.1,99,20,30244,42,29,4,14,6.4,2821|5211|5315|6120,GPI|PFKL|PKM|RPE,-4,MyList
GO Biological Processes,19,GO:0140053,mitochondrial gene expression,19_GO:0008152 metabolic process,-6.6,37,13,30244,142,29,5,17,7,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-3.5,MyList
Reactome Gene Sets,6,R-HSA-71387,Metabolism of carbohydrates,,-6.5,21,11,30244,297,29,6,21,7.5,2592|2821|5211|5315|6120|7086,GALT|GPI|PFKL|PKM|RPE|TKT,-3.4,MyList
