Gene,_SCORE_GRP1_,_SCORE_GRP3_,_SCORE_GRP4_,_SCORE_GRP2_,_SCORE_GRP6_,_SCORE_GRP5_,GRP1|19_GO:0043603|-11.436|amide metabolic process,GRP1|19_GO:0006518|-10.567|peptide metabolic process,GRP1|19_GO:0043043|-11.441|peptide biosynthetic process,GRP1|19_GO:0043604|-10.333|amide biosynthetic process,GRP1|19_GO:0006412|-10.154|translation,GRP1|6_R-HSA-72766|-9.607|Translation,GRP1|6_R-HSA-5368287|-9.492|Mitochondrial translation,GRP1|6_R-HSA-5419276|-9.669|Mitochondrial translation termination,GRP1|6_R-HSA-5368286|-7.705|Mitochondrial translation initiation,"GRP1|33_CORUM:320|-7.974|55S ribosome, mitochondrial",GRP1|6_R-HSA-5389840|-7.705|Mitochondrial translation elongation,GRP1|19_GO:0032543|-7.192|mitochondrial translation,GRP1|19_GO:0140053|-6.637|mitochondrial gene expression,GRP1|24_hsa03010|-6.288|Ribosome,"GRP1|33_CORUM:324|-4.876|39S ribosomal subunit, mitochondrial",GRP2|19_GO:0044282|-10.529|small molecule catabolic process,GRP2|19_GO:0032787|-6.364|monocarboxylic acid metabolic process,GRP2|19_GO:0006520|-5.180|amino acid metabolic process,GRP2|19_GO:0044283|-4.173|small molecule biosynthetic process,GRP2|19_GO:0046395|-4.147|carboxylic acid catabolic process,GRP2|19_GO:0016054|-4.147|organic acid catabolic process,GRP2|19_GO:0016053|-2.633|organic acid biosynthetic process,GRP2|19_GO:0046394|-2.646|carboxylic acid biosynthetic process,GRP2|19_GO:1901605|-3.050|alpha-amino acid metabolic process,"GRP2|27_WP2525|-4.419|Trans-sulfuration, one-carbon metabolism and related pathways",GRP3|6_R-HSA-71387|-6.475|Metabolism of carbohydrates,GRP3|24_hsa01200|-8.931|Carbon metabolism,GRP3|24_hsa01230|-6.102|Biosynthesis of amino acids,GRP3|24_hsa00030|-7.736|Pentose phosphate pathway,GRP3|19_GO:0051156|-5.919|glucose 6-phosphate metabolic process,GRP3|6_R-HSA-6798695|-4.064|Neutrophil degranulation,GRP3|19_GO:0005975|-5.479|carbohydrate metabolic process,GRP3|19_GO:0005996|-6.034|monosaccharide metabolic process,GRP3|19_GO:0019318|-4.802|hexose metabolic process,GRP3|19_GO:0016052|-5.436|carbohydrate catabolic process,GRP3|19_GO:0046365|-4.848|monosaccharide catabolic process,GRP3|19_GO:0019320|-5.084|hexose catabolic process,GRP3|27_WP5220|-7.129|Metabolic reprogramming in pancreatic cancer,GRP3|27_WP4290|-7.129|Metabolic reprogramming in colon cancer,GRP3|27_WP534|-4.961|Glycolysis and gluconeogenesis,GRP3|19_GO:0006096|-4.990|glycolytic process,GRP3|24_hsa00010|-4.438|Glycolysis / Gluconeogenesis,GRP3|19_GO:0006090|-4.400|pyruvate metabolic process,GRP3|6_R-HSA-70171|-4.327|Glycolysis,GRP3|27_WP4018|-4.114|Clear cell renal cell carcinoma pathways,GRP3|6_R-HSA-70326|-4.013|Glucose metabolism,GRP3|19_GO:0006006|-3.707|glucose metabolic process,GRP4|19_GO:0055086|-4.909|nucleobase-containing small molecule metabolic process,GRP4|19_GO:0006753|-4.038|nucleoside phosphate metabolic process,GRP4|19_GO:0009117|-4.077|nucleotide metabolic process,GRP4|19_GO:0072521|-3.068|purine-containing compound metabolic process,GRP4|19_GO:0006163|-3.180|purine nucleotide metabolic process,GRP4|19_GO:0046496|-4.363|nicotinamide nucleotide metabolic process,GRP4|19_GO:0019362|-4.363|pyridine nucleotide metabolic process,GRP4|19_GO:0072524|-4.241|pyridine-containing compound metabolic process,GRP4|19_GO:0006091|-2.274|generation of precursor metabolites and energy,GRP4|19_GO:0090407|-3.825|organophosphate biosynthetic process,GRP4|19_GO:1901293|-2.688|nucleoside phosphate biosynthetic process,GRP4|19_GO:0009165|-2.697|nucleotide biosynthetic process,GRP4|19_GO:0019693|-2.284|ribose phosphate metabolic process,GRP4|19_GO:0046390|-2.947|ribose phosphate biosynthetic process,GRP5|19_GO:0006749|-4.650|glutathione metabolic process,GRP6|6_R-HSA-196854|-3.095|Metabolism of vitamins and cofactors,GRP6|6_R-HSA-196849|-3.643|Metabolism of water-soluble vitamins and cofactors,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_
6648,0.0,0.0,0.07142857142857142,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,5,0,14,0,7,2,0
93100,0.0,0.045454545454545456,0.7857142857142857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.2,0.2,2,0,0,9,1,0,2
4141,0.4,0.0,0.0,0.1,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8,13,0,0,0,0
122622,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,15,0,0,0,4,0,0
28998,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,0,0,0,0,0
3029,0.26666666666666666,0.0,0.0,0.2,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,4,10,6,0,0,1,0
275,0.0,0.045454545454545456,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.2,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,10,0,0,0
5211,0.0,0.9545454545454546,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,5,1,0,0,0
4677,0.4,0.0,0.0,0.1,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,7,12,0,0,0,0
29088,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,0,0,0,0,0
