_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-11.441202153201647,GO:0043043,M1,1,0,GO Biological Processes,19,peptide biosynthetic process,19_GO:0008152 metabolic process,-11.441202153201647,24.949678270912393,15.275324756087524,30244,418,29,10,34.48275862068966,8.82632273954608,3029|4141|4677|10209|28998|29088|51023|51373|92399|124995,HAGH|MARS1|NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-7.388952445686405,0,1,1,1,-11.441202153201647,71.92390011890606,
1,-11.436480415458881,GO:0043603,M1,1,0,GO Biological Processes,19,amide metabolic process,19_GO:0008152 metabolic process,-11.436480415458881,15.663027059686678,13.013418027071985,30244,799,29,12,41.37931034482759,9.145723911072253,2571|3029|4141|4677|10209|28998|29088|51023|51373|60496|92399|124995,GAD1|HAGH|MARS1|NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|AASDHPPT|MRRF|MRPL10,-7.388952445686405,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-10.566865526938365,GO:0006518,M1,1,0,GO Biological Processes,19,peptide metabolic process,19_GO:0008152 metabolic process,-10.566865526938365,20.32936748000269,13.679546537359622,30244,513,29,10,34.48275862068966,8.82632273954608,3029|4141|4677|10209|28998|29088|51023|51373|92399|124995,HAGH|MARS1|NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.782100750542035,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-10.333276217681028,GO:0043604,M1,1,0,GO Biological Processes,19,amide biosynthetic process,19_GO:0008152 metabolic process,-10.333276217681028,19.241633795648305,13.276104546094013,30244,542,29,10,34.48275862068966,8.82632273954608,3029|4141|4677|10209|28998|29088|51023|51373|92399|124995,HAGH|MARS1|NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.68368825658059,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-10.15425368545168,GO:0006412,M1,1,0,GO Biological Processes,19,translation,19_GO:0008152 metabolic process,-10.15425368545168,24.128711993617586,14.223872328270819,30244,389,29,9,31.03448275862069,8.590911709007583,4141|4677|10209|28998|29088|51023|51373|92399|124995,MARS1|NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.5838469703988665,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-9.669256651780884,R-HSA-5419276,M1,1,0,Reactome Gene Sets,6,Mitochondrial translation termination,,-9.669256651780884,71.92390011890606,20.523824967458545,30244,87,29,6,20.689655172413794,7.522159645153251,28998|29088|51023|51373|92399|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.165796726358684,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-9.607386945786441,R-HSA-72766,M1,1,0,Reactome Gene Sets,6,Translation,,-9.607386945786441,28.572508266414737,14.667460326499913,30244,292,29,8,27.586206896551722,8.299609211231937,4141|4677|28998|29088|51023|51373|92399|124995,MARS1|NARS1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.1619189673419275,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-9.492138758988343,R-HSA-5368287,M1,1,0,Reactome Gene Sets,6,Mitochondrial translation,,-9.492138758988343,67.28364849833149,19.833399227480466,30244,93,29,6,20.689655172413794,7.522159645153251,28998|29088|51023|51373|92399|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.097823302991211,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-7.9741755610222205,CORUM:320,M1,1,0,CORUM,33,"55S ribosome, mitochondrial",,-7.9741755610222205,67.72055530676221,18.16097194608097,30244,77,29,5,17.24137931034483,7.01445003745666,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-4.667010280743988,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-7.705177120411821,R-HSA-5368286,M1,1,0,Reactome Gene Sets,6,Mitochondrial translation initiation,,-7.705177120411821,59.93658343242173,17.054957786008703,30244,87,29,5,17.24137931034483,7.01445003745666,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-4.502747190653602,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-7.705177120411821,R-HSA-5389840,M1,1,0,Reactome Gene Sets,6,Mitochondrial translation elongation,,-7.705177120411821,59.93658343242173,17.054957786008703,30244,87,29,5,17.24137931034483,7.01445003745666,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-4.502747190653602,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-7.191652976606809,GO:0032543,M1,1,0,GO Biological Processes,19,mitochondrial translation,19_GO:0008152 metabolic process,-7.191652976606809,47.40438871473355,15.105222996187603,30244,110,29,5,17.24137931034483,7.01445003745666,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-4.019186270226033,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-6.637261148274869,GO:0140053,M1,1,0,GO Biological Processes,19,mitochondrial gene expression,19_GO:0008152 metabolic process,-6.637261148274869,36.72170956775134,13.218399274953574,30244,142,29,5,17.24137931034483,7.01445003745666,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-3.543975687941718,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-6.287643783203024,hsa03010,M1,1,0,KEGG Pathway,24,Ribosome,,-6.287643783203024,31.224447656411318,12.133874117196351,30244,167,29,5,17.24137931034483,7.01445003745666,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-3.2613051125004864,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-4.875610443831904,CORUM:324,M1,1,0,CORUM,33,"39S ribosomal subunit, mitochondrial",,-4.875610443831904,65.18103448275862,13.786459761514617,30244,48,29,3,10.344827586206897,5.6552304164538,28998|29088|124995,MRPL13|MRPL15|MRPL10,-2.0322024567153525,0,1,0,0,-11.441202153201647,71.92390011890606,
1,-10.52859872465053,GO:0044282,M1,1,0,GO Biological Processes,19,small molecule catabolic process,19_GO:0008152 metabolic process,-10.52859872465053,26.58943049721598,14.982279178144598,30244,353,29,9,31.03448275862069,8.590911709007583,275|978|2571|2592|3029|5211|5315|27349|60496,AMT|CDA|GAD1|GALT|HAGH|PFKL|PKM|MCAT|AASDHPPT,-6.782100750542035,0,2,1,1,-10.52859872465053,46.01014198782962,
1,-6.364174124581113,GO:0032787,M1,1,0,GO Biological Processes,19,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-6.364174124581113,14.258351293103447,9.37373290770755,30244,512,29,7,24.137931034482758,7.946270842617656,2571|2821|3029|5211|5315|27349|60496,GAD1|GPI|HAGH|PFKL|PKM|MCAT|AASDHPPT,-3.3166461548086366,0,2,0,0,-10.52859872465053,46.01014198782962,
1,-5.179811497354918,GO:0006520,M1,1,0,GO Biological Processes,19,amino acid metabolic process,19_GO:0008152 metabolic process,-5.179811497354918,18.556878144557615,9.160262983470862,30244,281,29,5,17.24137931034483,7.01445003745666,275|2571|4141|4677|60496,AMT|GAD1|MARS1|NARS1|AASDHPPT,-2.262617296077448,0,2,0,0,-10.52859872465053,46.01014198782962,
