Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-5419276,Mitochondrial translation termination,,-10,80,22,30244,87,26,6,23,8.3,28998|29088|51023|51373|92399|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-7
MyList,Reactome Gene Sets,6,R-HSA-5368287,Mitochondrial translation,,-9.8,75,21,30244,93,26,6,23,8.3,28998|29088|51023|51373|92399|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.9
MyList,GO Biological Processes,19,GO:0043603,amide metabolic process,19_GO:0008152 metabolic process,-9.2,15,11,30244,799,26,10,38,9.5,2571|4677|10209|28998|29088|51023|51373|60496|92399|124995,GAD1|NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|AASDHPPT|MRRF|MRPL10,-6.4
MyList,KEGG Pathway,24,hsa01200,Carbon metabolism,,-9.2,61,19,30244,115,26,6,23,8.3,275|2821|5211|5315|6120|7086,AMT|GPI|PFKL|PKM|RPE|TKT,-6.4
MyList,GO Biological Processes,19,GO:0006412,translation,19_GO:0008152 metabolic process,-9.1,24,13,30244,389,26,8,31,9.1,4677|10209|28998|29088|51023|51373|92399|124995,NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6.2
MyList,GO Biological Processes,19,GO:0043043,peptide biosynthetic process,19_GO:0008152 metabolic process,-8.8,22,13,30244,418,26,8,31,9.1,4677|10209|28998|29088|51023|51373|92399|124995,NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-6
MyList,Reactome Gene Sets,6,R-HSA-72766,Translation,,-8.4,28,14,30244,292,26,7,27,8.7,4677|28998|29088|51023|51373|92399|124995,NARS1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-5.6
MyList,CORUM,33,CORUM:320,"55S ribosome, mitochondrial",,-8.2,76,19,30244,77,26,5,19,7.7,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-5.4
MyList,GO Biological Processes,19,GO:0006518,peptide metabolic process,19_GO:0008152 metabolic process,-8.1,18,11,30244,513,26,8,31,9.1,4677|10209|28998|29088|51023|51373|92399|124995,NARS1|EIF1|MRPL13|MRPL15|MRPS18C|MRPS17|MRRF|MRPL10,-5.3
MyList,Reactome Gene Sets,6,R-HSA-5389840,Mitochondrial translation elongation,,-8,67,18,30244,87,26,5,19,7.7,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-5.2
MyList,Reactome Gene Sets,6,R-HSA-5368286,Mitochondrial translation initiation,,-8,67,18,30244,87,26,5,19,7.7,28998|29088|51023|51373|124995,MRPL13|MRPL15|MRPS18C|MRPS17|MRPL10,-5.2
MyList,KEGG Pathway,24,hsa00030,Pentose phosphate pathway,,-7.9,1.6e+02,25,30244,30,26,4,15,7.1,2821|5211|6120|7086,GPI|PFKL|RPE|TKT,-5.2
