Cluster,Score,Type,Gene,Symbol,Network
1,2.5,Clustered,51023,MRPS18C,MyList_SUB1
1,2.5,Clustered,124995,MRPL10,MyList_SUB1
1,2.5,Clustered,28998,MRPL13,MyList_SUB1
1,2.5,Clustered,51373,MRPS17,MyList_SUB1
1,2.5,Clustered,29088,MRPL15,MyList_SUB1
1,2.5,Seed,92399,MRRF,MyList_SUB1
2,1.4000000000000001,Clustered,5315,PKM,MyList_SUB1
2,1.4000000000000001,Clustered,5211,PFKL,MyList_SUB1
2,1.4000000000000001,Clustered,7086,TKT,MyList_SUB1
2,1.4000000000000001,Clustered,4677,NARS1,MyList_SUB1
2,1.4000000000000001,Seed,10209,EIF1,MyList_SUB1
