_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.6,M39237,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C18 COLLECTING DUCT PRINCIPAL CELLS MEDULLA,,-3.6,13,6.7,30244,322,29,4,14,6.4,5315|6648|10209|10988,PKM|SOD2|EIF1|METAP2,0,0
1,-3.5,M39229,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C10 THIN ASCENDING LIMB,,-3.5,12,6.3,30244,353,29,4,14,6.4,4677|5315|6648|10209,NARS1|PKM|SOD2|EIF1,0,0
1,-3.4,M41688,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG NEUTROPHIL CELL,,-3.4,11,6.2,30244,368,29,4,14,6.4,978|5315|6648|7086,CDA|PKM|SOD2|TKT,0,0
1,-2.9,M39124,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C23 KUPFFER CELLS 3,,-2.9,14,6.1,30244,221,29,3,10,5.7,5315|6648|7086,PKM|SOD2|TKT,0,0
1,-2.8,M41706,M1,1,0,Cell Type Signatures,7,FAN OVARY CL4 T LYMPHOCYTE NK CELL 1,,-2.8,13,5.7,30244,246,29,3,10,5.7,3422|5315|10209,IDI1|PKM|EIF1,0,0
1,-2.7,M39228,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C9 THIN ASCENDING LIMB,,-2.7,12,5.4,30244,268,29,3,10,5.7,5315|6648|10209,PKM|SOD2|EIF1,0,0
1,-2.6,M39257,M1,1,0,Cell Type Signatures,7,MENON FETAL KIDNEY 7 LOOPOF HENLE CELLS DISTAL,,-2.6,11,5.3,30244,276,29,3,10,5.7,2821|4677|5315,GPI|NARS1|PKM,0,0
1,-2.6,M39227,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C8 DECENDING THIN LIMB,,-2.6,11,5.3,30244,278,29,3,10,5.7,5315|6648|10209,PKM|SOD2|EIF1,0,0
1,-2.4,M39238,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C19 COLLECTING DUCT INTERCALATED CELLS TYPE A MEDULLA,,-2.4,9.6,4.8,30244,326,29,3,10,5.7,5315|6648|10209,PKM|SOD2|EIF1,0,0
1,-2.4,M41751,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE MYELOID CELLS,,-2.4,9,4.7,30244,347,29,3,10,5.7,6648|7086|10209,SOD2|TKT|EIF1,0,0
1,-2.2,M39231,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C12 THICK ASCENDING LIMB,,-2.2,8.2,4.4,30244,381,29,3,10,5.7,4677|5211|5315,NARS1|PFKL|PKM,0,0
1,-2,M39203,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW NEUTROPHIL,,-2,7,3.9,30244,449,29,3,10,5.7,978|5315|7086,CDA|PKM|TKT,0,0
