_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.6,C0008533,M1,1,0,DisGeNET,35,Hemophilia B,,-4.6,53,12,30244,59,29,3,10,5.7,275|2571|60496,AMT|GAD1|AASDHPPT,-0.087,0
1,-3.4,C4521042,M1,1,0,DisGeNET,35,Complete Trisomy 21 Syndrome,,-3.4,7.8,5.5,30244,668,29,5,17,7,978|2571|2821|5211|6648,CDA|GAD1|GPI|PFKL|SOD2,0,0
1,-3.4,C0005859,M1,1,0,DisGeNET,35,Bloom Syndrome,,-3.4,20,7.4,30244,155,29,3,10,5.7,978|5315|6648,CDA|PKM|SOD2,0,0
1,-3.3,C0238461,M1,1,0,DisGeNET,35,Anaplastic thyroid carcinoma,,-3.3,11,6,30244,392,29,4,14,6.4,2821|5315|6648|7086,GPI|PKM|SOD2|TKT,0,0
1,-3.2,C0015672,M1,1,0,DisGeNET,35,Fatigue,,-3.2,6.9,5.1,30244,759,29,5,17,7,275|2571|4677|6120|6648,AMT|GAD1|NARS1|RPE|SOD2,0,0
1,-3.1,C0030297,M1,1,0,DisGeNET,35,Pancreatic Neoplasm,,-3.1,6.8,5.1,30244,764,29,5,17,7,978|2821|5315|6648|27349,CDA|GPI|PKM|SOD2|MCAT,0,0
1,-3.1,C0013080,M1,1,0,DisGeNET,35,Down Syndrome,,-3.1,6.8,5,30244,765,29,5,17,7,978|2571|2821|5211|6648,CDA|GAD1|GPI|PFKL|SOD2,0,0
1,-3.1,C0205699,M1,1,0,DisGeNET,35,Carcinomatosis,,-3.1,17,6.7,30244,186,29,3,10,5.7,5315|6648|7086,PKM|SOD2|TKT,0,0
1,-3.1,C3203102,M1,1,0,DisGeNET,35,Idiopathic pulmonary arterial hypertension,,-3.1,6.7,5,30244,776,29,5,17,7,2821|5315|6648|10988|27349,GPI|PKM|SOD2|METAP2|MCAT,0,0
1,-3.1,C0027626,M1,1,0,DisGeNET,35,Neoplasm Invasiveness,,-3.1,16,6.6,30244,193,29,3,10,5.7,5315|6648|7086,PKM|SOD2|TKT,0,0
1,-3,C0007113,M1,1,0,DisGeNET,35,Rectal Carcinoma,,-3,8.8,5.3,30244,472,29,4,14,6.4,4677|6648|7086|10209,NARS1|SOD2|TKT|EIF1,0,0
1,-2.9,C0030552,M1,1,0,DisGeNET,35,Paresis,,-2.9,14,6.2,30244,216,29,3,10,5.7,5315|27349|122622,PKM|MCAT|ADSS1,0,0
1,-2.9,C0024668,M1,1,0,DisGeNET,35,"Mammary Neoplasms, Experimental",,-2.9,14,6.1,30244,218,29,3,10,5.7,5315|6648|7086,PKM|SOD2|TKT,0,0
1,-2.9,C0205697,M1,1,0,DisGeNET,35,"Carcinoma, Spindle-Cell",,-2.9,14,6.1,30244,218,29,3,10,5.7,5315|6648|7086,PKM|SOD2|TKT,0,0
1,-2.9,C0205696,M1,1,0,DisGeNET,35,Anaplastic carcinoma,,-2.9,13,5.9,30244,232,29,3,10,5.7,5315|6648|7086,PKM|SOD2|TKT,0,0
1,-2.8,C3665346,M1,1,0,DisGeNET,35,Unspecified visual loss,,-2.8,13,5.9,30244,235,29,3,10,5.7,2571|6120|6648,GAD1|RPE|SOD2,0,0
1,-2.8,C1257931,M1,1,0,DisGeNET,35,"Mammary Neoplasms, Human",,-2.8,7.9,5,30244,527,29,4,14,6.4,978|2821|6648|28998,CDA|GPI|SOD2|MRPL13,0,0
1,-2.8,C0022346,M1,1,0,DisGeNET,35,Icterus,,-2.8,13,5.8,30244,241,29,3,10,5.7,2592|2821|5315,GALT|GPI|PKM,0,0
1,-2.8,C0282193,M1,1,0,DisGeNET,35,Iron Overload,,-2.8,13,5.8,30244,241,29,3,10,5.7,2821|6120|6648,GPI|RPE|SOD2,0,0
1,-2.8,C0151786,M1,1,0,DisGeNET,35,Muscle Weakness,,-2.8,7.8,4.9,30244,536,29,4,14,6.4,2821|5315|27349|122622,GPI|PKM|MCAT|ADSS1,0,0
