_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.3,M40840,M1,1,0,Transcription Factor Targets,16,EPC1 TARGET GENES,,-4.3,19,8.3,30244,218,29,4,14,6.4,3029|5315|6648|29088,HAGH|PKM|SOD2|MRPL15,-0.05,0
1,-4,M3741,M1,1,0,Transcription Factor Targets,16,CEBPGAMMA Q6,,-4,16,7.6,30244,259,29,4,14,6.4,4141|10988|92399|119391,MARS1|METAP2|MRRF|GSTO2,0,0
1,-3.5,M30082,M1,1,0,Transcription Factor Targets,16,NCOA6 TARGET GENES,,-3.5,12,6.3,30244,354,29,4,14,6.4,3029|27349|28998|122622,HAGH|MCAT|MRPL13|ADSS1,0,0
1,-3.4,M29890,M1,1,0,Transcription Factor Targets,16,ARNT2 TARGET GENES,,-3.4,7.7,5.5,30244,673,29,5,17,7,3029|6648|51023|92399|93100,HAGH|SOD2|MRPS18C|MRRF|NAPRT,0,0
1,-2.9,M30142,M1,1,0,Transcription Factor Targets,16,RFX7 TARGET GENES,,-2.9,8.3,5.1,30244,500,29,4,14,6.4,3029|6648|28998|51373,HAGH|SOD2|MRPL13|MRPS17,0,0
1,-2.6,M29995,M1,1,0,Transcription Factor Targets,16,HES4 TARGET GENES,,-2.6,7,4.6,30244,597,29,4,14,6.4,3029|4677|6648|28998,HAGH|NARS1|SOD2|MRPL13,0,0
1,-2.5,M30011,M1,1,0,Transcription Factor Targets,16,HOXB6 TARGET GENES,,-2.5,6.5,4.4,30244,638,29,4,14,6.4,2821|6648|51373|92399,GPI|SOD2|MRPS17|MRRF,0,0
1,-2.5,M40810,M1,1,0,Transcription Factor Targets,16,ZNF579 TARGET GENES,,-2.5,6.4,4.3,30244,652,29,4,14,6.4,4141|4677|7086|28998,MARS1|NARS1|TKT|MRPL13,0,0
1,-2.4,M29986,M1,1,0,Transcription Factor Targets,16,GUCY1B1 TARGET GENES,,-2.4,6.1,4.2,30244,686,29,4,14,6.4,3029|6648|28998|29088,HAGH|SOD2|MRPL13|MRPL15,0,0
1,-2.3,M40851,M1,1,0,Transcription Factor Targets,16,ZNF490 TARGET GENES,,-2.3,8.9,4.6,30244,350,29,3,10,5.7,4677|5315|51023,NARS1|PKM|MRPS18C,0,0
1,-2.2,M30170,M1,1,0,Transcription Factor Targets,16,SNIP1 TARGET GENES,,-2.2,5.4,3.8,30244,771,29,4,14,6.4,4141|6648|10209|10988,MARS1|SOD2|EIF1|METAP2,0,0
