Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0008533,Hemophilia B,,-4.6,53,12,30244,59,29,3,10,5.7,275|2571|60496,AMT|GAD1|AASDHPPT,-0.087,MyList
Transcription Factor Targets,16,M40840,EPC1 TARGET GENES,,-4.3,19,8.3,30244,218,29,4,14,6.4,3029|5315|6648|29088,HAGH|PKM|SOD2|MRPL15,-0.05,MyList
Transcription Factor Targets,16,M3741,CEBPGAMMA Q6,,-4,16,7.6,30244,259,29,4,14,6.4,4141|10988|92399|119391,MARS1|METAP2|MRRF|GSTO2,0,MyList
Cell Type Signatures,7,M39237,LAKE ADULT KIDNEY C18 COLLECTING DUCT PRINCIPAL CELLS MEDULLA,,-3.6,13,6.7,30244,322,29,4,14,6.4,5315|6648|10209|10988,PKM|SOD2|EIF1|METAP2,0,MyList
COVID,200,COVID135,Proteome_Stukalov_A549-ACE2_24h_Up,,-3.6,24,8.1,30244,131,29,3,10,5.7,2821|7086|10988,GPI|TKT|METAP2,0,MyList
COVID,200,COVID255,RNA_Wilk_CD14+Monocytes_patient-C5_Down,,-3.5,22,7.8,30244,142,29,3,10,5.7,6648|7086|10209,SOD2|TKT|EIF1,0,MyList
Cell Type Signatures,7,M39229,LAKE ADULT KIDNEY C10 THIN ASCENDING LIMB,,-3.5,12,6.3,30244,353,29,4,14,6.4,4677|5315|6648|10209,NARS1|PKM|SOD2|EIF1,0,MyList
Transcription Factor Targets,16,M30082,NCOA6 TARGET GENES,,-3.5,12,6.3,30244,354,29,4,14,6.4,3029|27349|28998|122622,HAGH|MCAT|MRPL13|ADSS1,0,MyList
DisGeNET,35,C4521042,Complete Trisomy 21 Syndrome,,-3.4,7.8,5.5,30244,668,29,5,17,7,978|2571|2821|5211|6648,CDA|GAD1|GPI|PFKL|SOD2,0,MyList
Cell Type Signatures,7,M41688,TRAVAGLINI LUNG NEUTROPHIL CELL,,-3.4,11,6.2,30244,368,29,4,14,6.4,978|5315|6648|7086,CDA|PKM|SOD2|TKT,0,MyList
Transcription Factor Targets,16,M29890,ARNT2 TARGET GENES,,-3.4,7.7,5.5,30244,673,29,5,17,7,3029|6648|51023|92399|93100,HAGH|SOD2|MRPS18C|MRRF|NAPRT,0,MyList
DisGeNET,35,C0005859,Bloom Syndrome,,-3.4,20,7.4,30244,155,29,3,10,5.7,978|5315|6648,CDA|PKM|SOD2,0,MyList
DisGeNET,35,C0238461,Anaplastic thyroid carcinoma,,-3.3,11,6,30244,392,29,4,14,6.4,2821|5315|6648|7086,GPI|PKM|SOD2|TKT,0,MyList
DisGeNET,35,C0015672,Fatigue,,-3.2,6.9,5.1,30244,759,29,5,17,7,275|2571|4677|6120|6648,AMT|GAD1|NARS1|RPE|SOD2,0,MyList
DisGeNET,35,C0030297,Pancreatic Neoplasm,,-3.1,6.8,5.1,30244,764,29,5,17,7,978|2821|5315|6648|27349,CDA|GPI|PKM|SOD2|MCAT,0,MyList
DisGeNET,35,C0013080,Down Syndrome,,-3.1,6.8,5,30244,765,29,5,17,7,978|2571|2821|5211|6648,CDA|GAD1|GPI|PFKL|SOD2,0,MyList
DisGeNET,35,C0205699,Carcinomatosis,,-3.1,17,6.7,30244,186,29,3,10,5.7,5315|6648|7086,PKM|SOD2|TKT,0,MyList
DisGeNET,35,C3203102,Idiopathic pulmonary arterial hypertension,,-3.1,6.7,5,30244,776,29,5,17,7,2821|5315|6648|10988|27349,GPI|PKM|SOD2|METAP2|MCAT,0,MyList
DisGeNET,35,C0027626,Neoplasm Invasiveness,,-3.1,16,6.6,30244,193,29,3,10,5.7,5315|6648|7086,PKM|SOD2|TKT,0,MyList
DisGeNET,35,C0007113,Rectal Carcinoma,,-3,8.8,5.3,30244,472,29,4,14,6.4,4677|6648|7086|10209,NARS1|SOD2|TKT|EIF1,0,MyList
DisGeNET,35,C0030552,Paresis,,-2.9,14,6.2,30244,216,29,3,10,5.7,5315|27349|122622,PKM|MCAT|ADSS1,0,MyList
DisGeNET,35,C0205697,"Carcinoma, Spindle-Cell",,-2.9,14,6.1,30244,218,29,3,10,5.7,5315|6648|7086,PKM|SOD2|TKT,0,MyList
DisGeNET,35,C0024668,"Mammary Neoplasms, Experimental",,-2.9,14,6.1,30244,218,29,3,10,5.7,5315|6648|7086,PKM|SOD2|TKT,0,MyList
Cell Type Signatures,7,M39124,AIZARANI LIVER C23 KUPFFER CELLS 3,,-2.9,14,6.1,30244,221,29,3,10,5.7,5315|6648|7086,PKM|SOD2|TKT,0,MyList
Transcription Factor Targets,16,M30142,RFX7 TARGET GENES,,-2.9,8.3,5.1,30244,500,29,4,14,6.4,3029|6648|28998|51373,HAGH|SOD2|MRPL13|MRPS17,0,MyList
DisGeNET,35,C0205696,Anaplastic carcinoma,,-2.9,13,5.9,30244,232,29,3,10,5.7,5315|6648|7086,PKM|SOD2|TKT,0,MyList
DisGeNET,35,C3665346,Unspecified visual loss,,-2.8,13,5.9,30244,235,29,3,10,5.7,2571|6120|6648,GAD1|RPE|SOD2,0,MyList
DisGeNET,35,C1257931,"Mammary Neoplasms, Human",,-2.8,7.9,5,30244,527,29,4,14,6.4,978|2821|6648|28998,CDA|GPI|SOD2|MRPL13,0,MyList
DisGeNET,35,C0022346,Icterus,,-2.8,13,5.8,30244,241,29,3,10,5.7,2592|2821|5315,GALT|GPI|PKM,0,MyList
DisGeNET,35,C0282193,Iron Overload,,-2.8,13,5.8,30244,241,29,3,10,5.7,2821|6120|6648,GPI|RPE|SOD2,0,MyList
DisGeNET,35,C0151786,Muscle Weakness,,-2.8,7.8,4.9,30244,536,29,4,14,6.4,2821|5315|27349|122622,GPI|PKM|MCAT|ADSS1,0,MyList
Cell Type Signatures,7,M41706,FAN OVARY CL4 T LYMPHOCYTE NK CELL 1,,-2.8,13,5.7,30244,246,29,3,10,5.7,3422|5315|10209,IDI1|PKM|EIF1,0,MyList
DisGeNET,35,C4704874,"Mammary Carcinoma, Human",,-2.8,7.7,4.9,30244,545,29,4,14,6.4,978|2821|6648|28998,CDA|GPI|SOD2|MRPL13,0,MyList
DisGeNET,35,C0220668,Congenital contractural arachnodactyly,,-2.7,7.5,4.8,30244,559,29,4,14,6.4,5315|6648|10988|27349,PKM|SOD2|METAP2|MCAT,0,MyList
