Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
93100,3.0,1,1,1
124995,3.0,1,1,1
5211,3.0,1,1,1
51023,3.0,1,1,1
5315,3.0,1,1,1
28998,3.0,1,1,1
2821,3.0,1,1,1
2571,3.0,1,1,1
29088,3.0,1,1,1
6648,3.0,1,1,1
2592,3.0,1,1,1
51373,3.0,1,1,1
119391,3.0,1,1,1
7086,3.0,1,1,1
92399,3.0,1,1,1
275,3.0,1,1,1
6120,3.0,1,1,1
10988,2.0,1,0,1
10209,2.0,1,0,1
122622,2.0,1,0,1
27349,2.0,1,0,1
4677,2.0,1,0,1
150274,2.0,1,0,1
3422,2.0,1,0,1
3029,2.0,1,1,0
60496,2.0,1,0,1
11212,2.0,1,0,1
4141,1.0,1,0,0
978,1.0,1,0,0
