_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-12,hsa03010,Ribosome,M1,1,0
1,-4.2,R-HSA-3299685,Detoxification of Reactive Oxygen Species,M1,1,0
1,-3.7,GO:0008610,lipid biosynthetic process,M1,1,0
1,-2.3,R-HSA-9609507,Protein localization,M1,1,0
1,-25,GO:0006520,amino acid metabolic process,M1,1,0
1,-8.8,GO:0009150,purine ribonucleotide metabolic process,M1,1,0
1,-8.1,GO:0009156,ribonucleoside monophosphate biosynthetic process,M1,1,0
1,-22,R-HSA-379726,Mitochondrial tRNA aminoacylation,M1,1,0
1,-2.1,GO:0046474,glycerophospholipid biosynthetic process,M1,1,0
1,-11,GO:0072521,purine-containing compound metabolic process,M1,1,0
1,-6.6,GO:0046390,ribose phosphate biosynthetic process,M1,1,0
1,-4.7,GO:0046394,carboxylic acid biosynthetic process,M1,1,0
1,-6.9,GO:0009161,ribonucleoside monophosphate metabolic process,M1,1,0
1,-2.5,GO:0009199,ribonucleoside triphosphate metabolic process,M1,1,0
1,-12,GO:0009117,nucleotide metabolic process,M1,1,0
1,-12,GO:0070127,tRNA aminoacylation for mitochondrial protein translation,M1,1,0
1,-3.3,GO:0009991,response to extracellular stimulus,M1,1,0
1,-4.3,GO:0009152,purine ribonucleotide biosynthetic process,M1,1,0
1,-5.1,GO:0009168,purine ribonucleoside monophosphate biosynthetic process,M1,1,0
1,-6.5,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-2.7,GO:0015980,energy derivation by oxidation of organic compounds,M1,1,0
1,-25,R-HSA-72766,Translation,M1,1,0
1,-2.2,GO:0005996,monosaccharide metabolic process,M1,1,0
1,-5.6,R-HSA-8956320,Nucleotide biosynthesis,M1,1,0
1,-3.4,GO:0031667,response to nutrient levels,M1,1,0
1,-2.6,GO:1901615,organic hydroxy compound metabolic process,M1,1,0
1,-3.2,hsa00983,Drug metabolism - other enzymes,M1,1,0
1,-4.7,GO:0046037,GMP metabolic process,M1,1,0
1,-5.2,GO:0044282,small molecule catabolic process,M1,1,0
1,-2.3,GO:0009141,nucleoside triphosphate metabolic process,M1,1,0
1,-24,GO:0043603,amide metabolic process,M1,1,0
1,-2.4,GO:0034284,response to monosaccharide,M1,1,0
1,-8.3,R-HSA-389661,Glyoxylate metabolism and glycine degradation,M1,1,0
1,-4.5,GO:0043648,dicarboxylic acid metabolic process,M1,1,0
1,-2.9,WP4932,7q11.23 copy number variation syndrome,M1,1,0
1,-3.4,GO:0046496,nicotinamide nucleotide metabolic process,M1,1,0
1,-4,GO:0009126,purine nucleoside monophosphate metabolic process,M1,1,0
1,-5.4,WP2453,TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc),M1,1,0
1,-5.4,GO:0009260,ribonucleotide biosynthetic process,M1,1,0
1,-3.5,GO:0009060,aerobic respiration,M1,1,0
1,-5.2,hsa00230,Purine metabolism,M1,1,0
1,-5.9,GO:1901606,alpha-amino acid catabolic process,M1,1,0
1,-4.8,GO:0008652,amino acid biosynthetic process,M1,1,0
1,-12,GO:0006753,nucleoside phosphate metabolic process,M1,1,0
1,-5,GO:0006091,generation of precursor metabolites and energy,M1,1,0
1,-23,GO:0140053,mitochondrial gene expression,M1,1,0
1,-15,R-HSA-5368286,Mitochondrial translation initiation,M1,1,0
