Cluster,Score,Type,Gene,Symbol,Network
1,4.818181818181818,Clustered,51116,MRPS2,MyList_SUB1
1,4.818181818181818,Clustered,64965,MRPS9,MyList_SUB1
1,4.818181818181818,Clustered,65008,MRPL1,MyList_SUB1
1,4.818181818181818,Clustered,9553,MRPL33,MyList_SUB1
1,4.818181818181818,Clustered,10573,MRPL28,MyList_SUB1
1,4.818181818181818,Clustered,11222,MRPL3,MyList_SUB1
1,4.818181818181818,Clustered,55324,ABCF3,MyList_SUB1
1,4.818181818181818,Clustered,79590,MRPL24,MyList_SUB1
1,4.818181818181818,Clustered,6182,MRPL12,MyList_SUB1
1,4.818181818181818,Seed,63875,MRPL17,MyList_SUB1
1,4.818181818181818,Clustered,9801,MRPL19,MyList_SUB1
2,2.857142857142857,Clustered,1431,CS,MyList_SUB1
2,2.857142857142857,Clustered,38,ACAT1,MyList_SUB1
2,2.857142857142857,Clustered,471,ATIC,MyList_SUB1
2,2.857142857142857,Clustered,6647,SOD1,MyList_SUB1
2,2.857142857142857,Clustered,4351,MPI,MyList_SUB1
2,2.857142857142857,Clustered,2597,GAPDH,MyList_SUB1
2,2.857142857142857,Seed,5198,PFAS,MyList_SUB1
