_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-15,C1836440,M1,1,0,DisGeNET,35,Increased serum lactate,,-15,35,20,30244,169,61,12,20,5.1,38|4967|10352|10667|11019|11222|25821|25828|51067|55157|84705|124454,ACAT1|OGDH|WARS2|FARS2|LIAS|MRPL3|MTO1|TXN2|YARS2|DARS2|GTPBP3|EARS2,-11,0
1,-9.5,C0344482,M1,1,0,DisGeNET,35,Hypoplasia of corpus callosum,,-9.5,14,12,30244,385,61,11,18,4.9,440|2643|2752|5859|10352|29920|29968|55157|57176|124454|133686,ASNS|GCH1|GLUL|QARS1|WARS2|PYCR2|PSAT1|DARS2|VARS2|EARS2|NADK2,-5.4,0
1,-9.4,C0001125,M1,1,0,DisGeNET,35,"Acidosis, Lactic",,-9.4,21,13,30244,209,61,9,15,4.5,10352|10667|11019|23395|25821|51067|57176|84705|124454,WARS2|FARS2|LIAS|LARS2|MTO1|YARS2|VARS2|GTPBP3|EARS2,-5.4,0
1,-8.8,C0085584,M1,1,0,DisGeNET,35,Encephalopathies,,-8.8,12,11,30244,457,61,11,18,4.9,440|2643|2653|2731|2752|10667|11019|29968|57176|84705|133686,ASNS|GCH1|GCSH|GLDC|GLUL|FARS2|LIAS|PSAT1|VARS2|GTPBP3|NADK2,-4.8,0
1,-8,C0151889,M1,1,0,DisGeNET,35,Hyperreflexia,,-8,10,9.6,30244,539,61,11,18,4.9,440|2643|2653|2731|2752|6647|10352|10667|29920|29968|55157,ASNS|GCH1|GCSH|GLDC|GLUL|SOD1|WARS2|FARS2|PYCR2|PSAT1|DARS2,-4.2,0
1,-7,C0040822,M1,1,0,DisGeNET,35,Tremor,,-7,9.4,8.7,30244,528,61,10,16,4.7,847|1743|2643|2752|6647|10352|10573|10667|29968|55157,CAT|DLST|GCH1|GLUL|SOD1|WARS2|MRPL28|FARS2|PSAT1|DARS2,-3.3,0
1,-6.9,C3553450,M1,1,0,DisGeNET,35,Profound global developmental delay,,-6.9,43,14,30244,58,61,5,8.2,3.5,440|5859|10667|11019|29968,ASNS|QARS1|FARS2|LIAS|PSAT1,-3.3,0
1,-6.4,C0232466,M1,1,0,DisGeNET,35,Feeding difficulties,,-6.4,9.4,8.3,30244,473,61,9,15,4.5,440|10352|10667|11019|11222|25821|25828|54938|84705,ASNS|WARS2|FARS2|LIAS|MRPL3|MTO1|TXN2|SARS2|GTPBP3,-2.8,0
1,-6.3,C0235031,M1,1,0,DisGeNET,35,Neurologic Symptoms,,-6.3,15,9.6,30244,233,61,7,11,4.1,847|2597|6647|10352|23395|25821|84705,CAT|GAPDH|SOD1|WARS2|LARS2|MTO1|GTPBP3,-2.8,0
1,-5.8,C0751651,M1,1,0,DisGeNET,35,Mitochondrial Diseases,,-5.8,12,8.6,30244,283,61,7,11,4.1,1431|10352|10667|25821|51067|51116|57176,CS|WARS2|FARS2|MTO1|YARS2|MRPS2|VARS2,-2.3,0
1,-5.7,C0220994,M1,1,0,DisGeNET,35,Hyperammonemia,,-5.7,24,11,30244,102,61,5,8.2,3.5,38|847|2653|2752|4967,ACAT1|CAT|GCSH|GLUL|OGDH,-2.2,0
1,-5.6,C0268559,M1,1,0,DisGeNET,35,Hyperglycinemia,,-5.6,1.1e+02,18,30244,14,61,3,4.9,2.8,2653|2731|29968,GCSH|GLDC|PSAT1,-2.2,0
1,-5.5,C0949857,M1,1,0,DisGeNET,35,Mitochondrial Respiratory Chain Deficiencies,,-5.5,40,12,30244,49,61,4,6.6,3.2,10667|11222|25821|55157,FARS2|MRPL3|MTO1|DARS2,-2.2,0
