Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
51116,3.0,1,1,1
221823,3.0,1,1,1
54995,3.0,1,1,1
124454,3.0,1,1,1
84705,3.0,1,1,1
440,3.0,1,1,1
54517,3.0,1,1,1
9553,3.0,1,1,1
29920,3.0,1,1,1
29968,3.0,1,1,1
9801,3.0,1,1,1
847,3.0,1,1,1
23438,3.0,1,1,1
8566,3.0,1,1,1
63875,3.0,1,1,1
6647,3.0,1,1,1
55157,3.0,1,1,1
54938,3.0,1,1,1
6182,3.0,1,1,1
65008,3.0,1,1,1
51067,3.0,1,1,1
2653,3.0,1,1,1
25821,3.0,1,1,1
10352,3.0,1,1,1
5198,3.0,1,1,1
1743,3.0,1,1,1
38,3.0,1,1,1
11222,3.0,1,1,1
471,3.0,1,1,1
79590,3.0,1,1,1
10201,3.0,1,1,1
5859,3.0,1,1,1
64965,3.0,1,1,1
2752,3.0,1,1,1
57176,3.0,1,1,1
2597,3.0,1,1,1
10573,3.0,1,1,1
23395,3.0,1,1,1
2731,3.0,1,1,1
8833,3.0,1,1,1
25828,3.0,1,1,1
1431,3.0,1,1,1
4967,3.0,1,1,1
54963,3.0,1,1,1
11019,3.0,1,1,1
64080,3.0,1,1,1
10380,2.0,1,0,1
63929,2.0,1,0,1
23761,2.0,1,0,1
134266,2.0,1,0,1
2710,2.0,1,0,1
128387,2.0,1,0,1
10667,2.0,1,1,0
133686,2.0,1,1,0
55324,2.0,1,0,1
2643,2.0,1,0,1
4351,2.0,1,0,1
10845,2.0,1,0,1
3336,2.0,1,0,1
262,1.0,1,0,0
1040,1.0,1,0,0
