Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
KEGG Pathway,24,hsa01200,Carbon metabolism,,-26,55,31,30244,115,86,18,21,4.4,48|128|1737|1738|2023|2098|2203|2271|3417|5226|5230|5723|6470|6888|7167|22934|26227|55902,ACO1|ADH5|DLAT|DLD|ENO1|ESD|FBP1|FH|IDH1|PGD|PGK1|PSPH|SHMT1|TALDO1|TPI1|RPIA|PHGDH|ACSS2,-22,MyList
Reactome Gene Sets,6,R-HSA-72766,Translation,,-23,25,22,30244,292,86,21,24,4.6,16|3376|3735|4528|5018|6729|10056|25973|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|79587|84340,AARS1|IARS1|KARS1|MTIF2|OXA1L|SRP54|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2,-19,MyList
GO Biological Processes,19,GO:0006091,generation of precursor metabolites and energy,19_GO:0008152 metabolic process,-22,21,21,30244,372,86,22,26,4.7,48|128|158|1352|1737|1738|2108|2235|2271|2632|2673|2820|3417|5018|5226|5834|6888|7360|9942|22934|26227|55902,ACO1|ADH5|ADSL|COX10|DLAT|DLD|ETFA|FECH|FH|GBE1|GFPT1|GPD2|IDH1|OXA1L|PGD|PYGB|TALDO1|UGP2|XYLB|RPIA|PHGDH|ACSS2,-19,MyList
GO Biological Processes,19,GO:0006520,amino acid metabolic process,19_GO:0008152 metabolic process,-22,25,22,30244,281,86,20,23,4.6,16|538|586|1503|1738|2108|2673|3376|3735|4357|4482|5471|5723|6470|10056|25973|26227|57038|79587|123283,AARS1|ATP7A|BCAT1|CTPS1|DLD|ETFA|GFPT1|IARS1|KARS1|MPST|MSRA|PPAT|PSPH|SHMT1|FARSB|PARS2|PHGDH|RARS2|CARS2|TARS3,-18,MyList
GO Biological Processes,19,GO:0043604,amide biosynthetic process,19_GO:0008152 metabolic process,-21,16,18,30244,542,86,24,28,4.8,16|1737|1738|2180|3376|3735|4528|10056|25973|51021|51073|51081|51263|54516|55173|55902|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|DLAT|DLD|ACSL1|IARS1|KARS1|MTIF2|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|ACSS2|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-18,MyList
GO Biological Processes,19,GO:0043603,amide metabolic process,19_GO:0008152 metabolic process,-20,11,16,30244,799,86,26,30,5,16|1737|1738|2180|3376|3735|4528|4817|6470|10056|25973|51021|51073|51081|51263|54516|55173|55902|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|DLAT|DLD|ACSL1|IARS1|KARS1|MTIF2|NIT1|SHMT1|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|ACSS2|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-16,MyList
GO Biological Processes,19,GO:0055086,nucleobase-containing small molecule metabolic process,19_GO:0008152 metabolic process,-20,15,17,30244,555,86,23,27,4.8,158|353|1503|1737|1738|1841|2180|2673|2745|2987|3417|3614|3704|3735|5226|5471|6470|6888|7360|22934|25996|55902|122481,ADSL|APRT|CTPS1|DLAT|DLD|DTYMK|ACSL1|GFPT1|GLRX|GUK1|IDH1|IMPDH1|ITPA|KARS1|PGD|PPAT|SHMT1|TALDO1|UGP2|RPIA|REXO2|ACSS2|AK7,-16,MyList
GO Biological Processes,19,GO:0006412,translation,19_GO:0008152 metabolic process,-19,18,18,30244,389,86,20,23,4.6,16|3376|3735|4528|10056|25973|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|IARS1|KARS1|MTIF2|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-16,MyList
GO Biological Processes,19,GO:0140053,mitochondrial gene expression,19_GO:0008152 metabolic process,-19,37,23,30244,142,86,15,17,4.1,4528|51021|51073|51081|51263|54516|54802|55173|57038|63931|64960|64963|64983|80324|84340,MTIF2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|TRIT1|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|PUS1|GFM2,-16,MyList
GO Biological Processes,19,GO:0043043,peptide biosynthetic process,19_GO:0008152 metabolic process,-18,17,17,30244,418,86,20,23,4.6,16|3376|3735|4528|10056|25973|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|IARS1|KARS1|MTIF2|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-15,MyList
Reactome Gene Sets,6,R-HSA-5368287,Mitochondrial translation,,-18,49,25,30244,93,86,13,15,3.9,4528|5018|51021|51073|51081|51263|54516|55173|63931|64960|64963|64983|84340,MTIF2|OXA1L|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32|GFM2,-15,MyList
KEGG Pathway,24,hsa01230,Biosynthesis of amino acids,,-18,56,26,30244,75,86,12,14,3.7,48|586|2023|3417|5230|5723|6470|6888|7167|22934|26227|27430,ACO1|BCAT1|ENO1|IDH1|PGK1|PSPH|SHMT1|TALDO1|TPI1|RPIA|PHGDH|MAT2B,-14,MyList
GO Biological Processes,19,GO:0009117,nucleotide metabolic process,19_GO:0008152 metabolic process,-17,15,16,30244,478,86,20,23,4.6,158|353|1503|1737|1738|1841|2180|2987|3417|3614|3704|3735|5226|5471|6470|6888|22934|25996|55902|122481,ADSL|APRT|CTPS1|DLAT|DLD|DTYMK|ACSL1|GUK1|IDH1|IMPDH1|ITPA|KARS1|PGD|PPAT|SHMT1|TALDO1|RPIA|REXO2|ACSS2|AK7,-14,MyList
GO Biological Processes,19,GO:0006753,nucleoside phosphate metabolic process,19_GO:0008152 metabolic process,-17,14,16,30244,487,86,20,23,4.6,158|353|1503|1737|1738|1841|2180|2987|3417|3614|3704|3735|5226|5471|6470|6888|22934|25996|55902|122481,ADSL|APRT|CTPS1|DLAT|DLD|DTYMK|ACSL1|GUK1|IDH1|IMPDH1|ITPA|KARS1|PGD|PPAT|SHMT1|TALDO1|RPIA|REXO2|ACSS2|AK7,-14,MyList
GO Biological Processes,19,GO:0032543,mitochondrial translation,19_GO:0008152 metabolic process,-17,42,23,30244,110,86,13,15,3.9,4528|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|84340,MTIF2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|GFM2,-14,MyList
GO Biological Processes,19,GO:0006518,peptide metabolic process,19_GO:0008152 metabolic process,-17,14,16,30244,513,86,20,23,4.6,16|3376|3735|4528|10056|25973|51021|51073|51081|51263|54516|55173|57038|63931|64960|64963|64983|79587|84340|123283,AARS1|IARS1|KARS1|MTIF2|FARSB|PARS2|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|RARS2|MRPS14|MRPS15|MRPS11|MRPL32|CARS2|GFM2|TARS3,-14,MyList
Reactome Gene Sets,6,R-HSA-5419276,Mitochondrial translation termination,,-17,49,24,30244,87,86,12,14,3.7,5018|51021|51073|51081|51263|54516|55173|63931|64960|64963|64983|84340,OXA1L|MRPS16|MRPL4|MRPS7|MRPL30|MTRF1L|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32|GFM2,-14,MyList
GO Biological Processes,19,GO:0090407,organophosphate biosynthetic process,19_GO:0008152 metabolic process,-16,13,15,30244,541,86,20,23,4.6,158|353|1503|1737|1738|1841|2180|2987|3614|3735|5471|6470|6652|7167|9054|9489|9942|55163|55902|122481,ADSL|APRT|CTPS1|DLAT|DLD|DTYMK|ACSL1|GUK1|IMPDH1|KARS1|PPAT|SHMT1|SORD|TPI1|NFS1|PGS1|XYLB|PNPO|ACSS2|AK7,-13,MyList
GO Biological Processes,19,GO:0005975,carbohydrate metabolic process,19_GO:0008152 metabolic process,-15,14,15,30244,441,86,18,21,4.4,1737|2023|2203|2582|2632|2820|3417|5226|5230|5236|5834|6652|6888|7167|7360|9942|22934|130589,DLAT|ENO1|FBP1|GALE|GBE1|GPD2|IDH1|PGD|PGK1|PGM1|PYGB|SORD|TALDO1|TPI1|UGP2|XYLB|RPIA|GALM,-12,MyList
Reactome Gene Sets,6,R-HSA-5368286,Mitochondrial translation initiation,,-15,44,22,30244,87,86,11,13,3.6,4528|5018|51021|51073|51081|51263|55173|63931|64960|64963|64983,MTIF2|OXA1L|MRPS16|MRPL4|MRPS7|MRPL30|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32,-12,MyList
KEGG Pathway,24,hsa00010,Glycolysis / Gluconeogenesis,,-14,52,23,30244,67,86,10,12,3.5,128|1737|1738|2023|2203|5230|5236|7167|55902|130589,ADH5|DLAT|DLD|ENO1|FBP1|PGK1|PGM1|TPI1|ACSS2|GALM,-11,MyList
GO Biological Processes,19,GO:0006399,tRNA metabolic process,19_GO:0008152 metabolic process,-14,24,17,30244,194,86,13,15,3.9,16|3376|3735|10056|25973|54802|55520|57038|79587|79693|80324|112487|123283,AARS1|IARS1|KARS1|FARSB|PARS2|TRIT1|ELAC1|RARS2|CARS2|YRDC|PUS1|DTD2|TARS3,-11,MyList
GO Biological Processes,19,GO:0016052,carbohydrate catabolic process,19_GO:0008152 metabolic process,-14,35,19,30244,110,86,11,13,3.6,2023|2582|2820|5226|5230|5236|5834|6652|7167|9942|130589,ENO1|GALE|GPD2|PGD|PGK1|PGM1|PYGB|SORD|TPI1|XYLB|GALM,-11,MyList
KEGG Pathway,24,hsa01240,Biosynthesis of cofactors,,-14,28,18,30244,153,86,12,14,3.7,158|586|1352|1503|1738|2235|6470|7360|9054|27430|55163|122481,ADSL|BCAT1|COX10|CTPS1|DLD|FECH|SHMT1|UGP2|NFS1|MAT2B|PNPO|AK7,-11,MyList
GO Biological Processes,19,GO:0009165,nucleotide biosynthetic process,19_GO:0008152 metabolic process,-14,19,15,30244,263,86,14,16,4,158|353|1503|1737|1738|1841|2180|2987|3614|3735|5471|6470|55902|122481,ADSL|APRT|CTPS1|DLAT|DLD|DTYMK|ACSL1|GUK1|IMPDH1|KARS1|PPAT|SHMT1|ACSS2|AK7,-11,MyList
GO Biological Processes,19,GO:0015980,energy derivation by oxidation of organic compounds,19_GO:0008152 metabolic process,-14,19,15,30244,264,86,14,16,4,48|158|1352|1737|1738|2108|2271|2632|2673|2820|3417|5018|5834|7360,ACO1|ADSL|COX10|DLAT|DLD|ETFA|FH|GBE1|GFPT1|GPD2|IDH1|OXA1L|PYGB|UGP2,-11,MyList
GO Biological Processes,19,GO:1901293,nucleoside phosphate biosynthetic process,19_GO:0008152 metabolic process,-14,19,15,30244,265,86,14,16,4,158|353|1503|1737|1738|1841|2180|2987|3614|3735|5471|6470|55902|122481,ADSL|APRT|CTPS1|DLAT|DLD|DTYMK|ACSL1|GUK1|IMPDH1|KARS1|PPAT|SHMT1|ACSS2|AK7,-11,MyList
Reactome Gene Sets,6,R-HSA-5389840,Mitochondrial translation elongation,,-13,40,20,30244,87,86,10,12,3.5,5018|51021|51073|51081|51263|55173|63931|64960|64963|64983,OXA1L|MRPS16|MRPL4|MRPS7|MRPL30|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32,-10,MyList
GO Biological Processes,19,GO:0044282,small molecule catabolic process,19_GO:0008152 metabolic process,-13,15,14,30244,353,86,15,17,4.1,128|1738|2023|2098|2108|2582|2820|4357|5226|5230|6470|6652|7167|9942|130589,ADH5|DLD|ENO1|ESD|ETFA|GALE|GPD2|MPST|PGD|PGK1|SHMT1|SORD|TPI1|XYLB|GALM,-10,MyList
Reactome Gene Sets,6,R-HSA-71387,Metabolism of carbohydrates,,-13,17,14,30244,297,86,14,16,4,2023|2203|2582|2632|5226|5230|5236|5834|6652|6888|7167|7360|9942|22934,ENO1|FBP1|GALE|GBE1|PGD|PGK1|PGM1|PYGB|SORD|TALDO1|TPI1|UGP2|XYLB|RPIA,-10,MyList
GO Biological Processes,19,GO:0005996,monosaccharide metabolic process,19_GO:0008152 metabolic process,-13,22,16,30244,188,86,12,14,3.7,1737|2023|2203|2582|5226|5230|5236|6652|7167|9942|22934|130589,DLAT|ENO1|FBP1|GALE|PGD|PGK1|PGM1|SORD|TPI1|XYLB|RPIA|GALM,-9.8,MyList
Reactome Gene Sets,6,R-HSA-15869,Metabolism of nucleotides,,-13,36,18,30244,99,86,10,12,3.5,158|353|1503|1841|2745|2987|3614|3704|5471|122481,ADSL|APRT|CTPS1|DTYMK|GLRX|GUK1|IMPDH1|ITPA|PPAT|AK7,-9.7,MyList
GO Biological Processes,19,GO:0006418,tRNA aminoacylation for protein translation,19_GO:0008152 metabolic process,-13,69,23,30244,41,86,8,9.3,3.1,16|3376|3735|10056|25973|57038|79587|123283,AARS1|IARS1|KARS1|FARSB|PARS2|RARS2|CARS2|TARS3,-9.7,MyList
WikiPathways,27,WP4290,Metabolic reprogramming in colon cancer,,-12,67,23,30244,42,86,8,9.3,3.1,2023|2271|5226|5230|5471|5723|6888|22934,ENO1|FH|PGD|PGK1|PPAT|PSPH|TALDO1|RPIA,-9.7,MyList
GO Biological Processes,19,GO:0043039,tRNA aminoacylation,19_GO:0008152 metabolic process,-12,64,22,30244,44,86,8,9.3,3.1,16|3376|3735|10056|25973|57038|79587|123283,AARS1|IARS1|KARS1|FARSB|PARS2|RARS2|CARS2|TARS3,-9.5,MyList
GO Biological Processes,19,GO:0043038,amino acid activation,19_GO:0008152 metabolic process,-12,63,22,30244,45,86,8,9.3,3.1,16|3376|3735|10056|25973|57038|79587|123283,AARS1|IARS1|KARS1|FARSB|PARS2|RARS2|CARS2|TARS3,-9.4,MyList
GO Biological Processes,19,GO:1901137,carbohydrate derivative biosynthetic process,19_GO:0008152 metabolic process,-12,10,12,30244,594,86,17,20,4.3,158|353|538|1503|1737|1738|1841|2180|2673|2987|3614|5471|6470|6652|7167|9942|55902,ADSL|APRT|ATP7A|CTPS1|DLAT|DLD|DTYMK|ACSL1|GFPT1|GUK1|IMPDH1|PPAT|SHMT1|SORD|TPI1|XYLB|ACSS2,-9.3,MyList
CORUM,33,CORUM:320,"55S ribosome, mitochondrial",,-12,41,19,30244,77,86,9,10,3.3,51021|51073|51081|51263|55173|63931|64960|64963|64983,MRPS16|MRPL4|MRPS7|MRPL30|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32,-9.2,MyList
GO Biological Processes,19,GO:0072521,purine-containing compound metabolic process,19_GO:0008152 metabolic process,-12,12,12,30244,450,86,15,17,4.1,158|353|1737|1738|2180|2987|3417|3614|3704|5226|5471|6470|6888|22934|55902,ADSL|APRT|DLAT|DLD|ACSL1|GUK1|IDH1|IMPDH1|ITPA|PGD|PPAT|SHMT1|TALDO1|RPIA|ACSS2,-8.8,MyList
WikiPathways,27,WP3925,Amino acid metabolism,,-11,35,17,30244,91,86,9,10,3.3,128|586|1738|2271|3376|3417|4357|6723|10056,ADH5|BCAT1|DLD|FH|IARS1|IDH1|MPST|SRM|FARSB,-8.5,MyList
GO Biological Processes,19,GO:0006163,purine nucleotide metabolic process,19_GO:0008152 metabolic process,-11,12,12,30244,420,86,14,16,4,158|353|1737|1738|2180|2987|3417|3614|3704|5226|5471|6888|22934|55902,ADSL|APRT|DLAT|DLD|ACSL1|GUK1|IDH1|IMPDH1|ITPA|PGD|PPAT|TALDO1|RPIA|ACSS2,-8.1,MyList
KEGG Pathway,24,hsa00970,Aminoacyl-tRNA biosynthesis,,-11,43,18,30244,66,86,8,9.3,3.1,16|3376|3735|10056|25973|57038|79587|123283,AARS1|IARS1|KARS1|FARSB|PARS2|RARS2|CARS2|TARS3,-8.1,MyList
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-11,10,11,30244,512,86,15,17,4.1,128|1737|1738|2023|2108|2180|3417|5226|5230|5236|6652|7167|9942|26227|55902,ADH5|DLAT|DLD|ENO1|ETFA|ACSL1|IDH1|PGD|PGK1|PGM1|SORD|TPI1|XYLB|PHGDH|ACSS2,-8.1,MyList
Reactome Gene Sets,6,R-HSA-379724,tRNA Aminoacylation,,-11,59,20,30244,42,86,7,8.1,2.9,16|3376|3735|10056|25973|57038|79587,AARS1|IARS1|KARS1|FARSB|PARS2|RARS2|CARS2,-7.8,MyList
GO Biological Processes,19,GO:0044283,small molecule biosynthetic process,19_GO:0008152 metabolic process,-10,11,11,30244,456,86,14,16,4,353|586|1841|2023|2203|5226|5230|5236|5723|6470|6652|7167|26227|55163,APRT|BCAT1|DTYMK|ENO1|FBP1|PGD|PGK1|PGM1|PSPH|SHMT1|SORD|TPI1|PHGDH|PNPO,-7.7,MyList
GO Biological Processes,19,GO:0009123,nucleoside monophosphate metabolic process,19_GO:0008152 metabolic process,-10,37,17,30244,76,86,8,9.3,3.1,158|353|1841|2987|3614|5471|6470|122481,ADSL|APRT|DTYMK|GUK1|IMPDH1|PPAT|SHMT1|AK7,-7.6,MyList
GO Biological Processes,19,GO:0016051,carbohydrate biosynthetic process,19_GO:0008152 metabolic process,-9.9,25,14,30244,129,86,9,10,3.3,2023|2203|2632|5226|5230|5236|6652|7167|7360,ENO1|FBP1|GBE1|PGD|PGK1|PGM1|SORD|TPI1|UGP2,-7.2,MyList
KEGG Pathway,24,hsa01232,Nucleotide metabolism,,-9.9,33,16,30244,85,86,8,9.3,3.1,158|353|1503|1841|2987|3614|3704|122481,ADSL|APRT|CTPS1|DTYMK|GUK1|IMPDH1|ITPA|AK7,-7.2,MyList
CORUM,33,CORUM:315,"28S ribosomal subunit, mitochondrial",,-9.7,73,21,30244,29,86,6,7,2.7,51021|51081|55173|63931|64960|64963,MRPS16|MRPS7|MRPS10|MRPS14|MRPS15|MRPS11,-7,MyList
GO Biological Processes,19,GO:0045333,cellular respiration,19_GO:0008152 metabolic process,-9.6,18,13,30244,195,86,10,12,3.5,48|158|1352|1737|1738|2108|2271|2820|3417|5018,ACO1|ADSL|COX10|DLAT|DLD|ETFA|FH|GPD2|IDH1|OXA1L,-7,MyList
GO Biological Processes,19,GO:0034660,ncRNA metabolic process,19_GO:0008152 metabolic process,-9.6,9.5,10,30244,520,86,14,16,4,16|3376|3735|10056|25973|54802|55520|57038|64963|79587|79693|80324|112487|123283,AARS1|IARS1|KARS1|FARSB|PARS2|TRIT1|ELAC1|RARS2|MRPS11|CARS2|YRDC|PUS1|DTD2|TARS3,-7,MyList
GO Biological Processes,19,GO:1901605,alpha-amino acid metabolic process,19_GO:0008152 metabolic process,-9.6,18,13,30244,198,86,10,12,3.5,538|586|1503|2673|4357|4482|5471|5723|6470|26227,ATP7A|BCAT1|CTPS1|GFPT1|MPST|MSRA|PPAT|PSPH|SHMT1|PHGDH,-6.9,MyList
GO Biological Processes,19,GO:0046364,monosaccharide biosynthetic process,19_GO:0008152 metabolic process,-9.4,41,17,30244,60,86,7,8.1,2.9,2023|2203|5226|5230|5236|6652|7167,ENO1|FBP1|PGD|PGK1|PGM1|SORD|TPI1,-6.8,MyList
GO Biological Processes,19,GO:0019693,ribose phosphate metabolic process,19_GO:0008152 metabolic process,-9.2,11,11,30244,369,86,12,14,3.7,158|353|1503|1737|1738|2180|2987|3614|3704|5471|22934|55902,ADSL|APRT|CTPS1|DLAT|DLD|ACSL1|GUK1|IMPDH1|ITPA|PPAT|RPIA|ACSS2,-6.6,MyList
WikiPathways,27,WP2453,TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc),,-9.2,1.1e+02,23,30244,16,86,5,5.8,2.5,48|1737|1738|2271|3417,ACO1|DLAT|DLD|FH|IDH1,-6.5,MyList
GO Biological Processes,19,GO:0019318,hexose metabolic process,19_GO:0008152 metabolic process,-9.1,20,13,30244,159,86,9,10,3.3,1737|2023|2203|2582|5230|5236|6652|7167|130589,DLAT|ENO1|FBP1|GALE|PGK1|PGM1|SORD|TPI1|GALM,-6.5,MyList
KEGG Pathway,24,hsa03010,Ribosome,,-8.9,19,12,30244,167,86,9,10,3.3,51021|51073|51081|51263|55173|63931|64960|64963|64983,MRPS16|MRPL4|MRPS7|MRPL30|MRPS10|MRPS14|MRPS15|MRPS11|MRPL32,-6.3,MyList
GO Biological Processes,19,GO:0072522,purine-containing compound biosynthetic process,19_GO:0008152 metabolic process,-8.8,15,11,30244,238,86,10,12,3.5,158|353|1737|1738|2180|2987|3614|5471|6470|55902,ADSL|APRT|DLAT|DLD|ACSL1|GUK1|IMPDH1|PPAT|SHMT1|ACSS2,-6.2,MyList
